Owned,Set Code,Set,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,MEG,Mega Evolution,Stamped Cards,,Yveltal,GameStop Stamp,US,Mega Evolution - Retailer Gift With Purchase,Card number to verify; spend 15 dollars on Pokemon TCG products
,MEG,Mega Evolution,Promo Cards,SVP219,Black Belt's Training,Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,SVP promo in Mega-era product
,MEG,Mega Evolution,Promo Cards,SVP220,Black Belt's Training,Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,SVP promo in Mega-era product
,MEG,Mega Evolution,Promo Cards,SVP221,Professor's Research [Professor Birch],Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,SVP promo in Mega-era product
,MEG,Mega Evolution,Promo Cards,SVP222,Professor's Research [Professor Kukui],Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,SVP promo in Mega-era product
,MEG,Mega Evolution,Promo Cards,SVP223,Professor's Research [Professor Magnolia],Black Star Promo,US/UK,Mega Evolution - Trainer's Toolkit 2025,SVP promo in Mega-era product
,MEG,Mega Evolution,MCAP Cards,MEG010,Meganium,Non Holo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,
,MEG,Mega Evolution,MCAP Cards,MEG010,Meganium,Pixel Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,Mega Evolution reprint
,MEG,Mega Evolution,MCAP Cards,MEG028,Cinderace,Pixel Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,Mega Evolution reprint
,MEG,Mega Evolution,MCAP Cards,MEG038,Clawitzer,Pixel Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,Mega Evolution reprint
,MEG,Mega Evolution,MCAP Cards,MEG048,Raikou,Pixel Cosmos Holo,US/UK,Mega Evolution - Raikou Two Pack Blister,
,MEG,Mega Evolution,MCAP Cards,MEG058,Ralts,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Collector Chest,
,MEG,Mega Evolution,MCAP Cards,MEG059,Kirlia,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Collector Chest,
,MEG,Mega Evolution,MCAP Cards,MEG064,Xerneas,Non Holo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,
,MEG,Mega Evolution,MCAP Cards,MEG074,Hariyama,Non Holo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,
,MEG,Mega Evolution,MCAP Cards,MEG076,Riolu,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Collector Chest,
,MEG,Mega Evolution,MCAP Cards,MEG093,Steelix,Pixel Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,Mega Evolution reprint
,MEG,Mega Evolution,Prize Pack Cards,MEG003,Mega Venusaur ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG022,Mega Camerupt ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG028,Cinderace,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG036,Mega Abomasnow ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG050,Mega Manectric ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG060,Mega Gardevoir ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG073,Hariyama,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG074,Lunatone,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG075,Solrock,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG077,Mega Lucario ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG086,Mega Absol ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG094,Mega Mawile ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG100,Mega Latias ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG101,Latios,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG104,Mega Kangaskhan ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG114,Boss's Orders,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG116,Fighting Gong,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG117,Forest of Vitality,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG118,Iron Defender,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG119,Lillie's Determination,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG121,Mega Signal,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG122,Mystery Garden,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG124,Premium Power Pro,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG127,Risky Ruins,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG128,Strange Timepiece,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG129,Surfing Beach,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,Prize Pack Cards,MEG132,Wally's Compassion,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEG,Mega Evolution,League and Championship Cards,MEG131,Ultra Ball,Pokemon Europe International Championships Stamp,Europe,Mega Evolution - 2026 Pokemon Europe International Championships merchandise,Competitor promo
,MEG,Mega Evolution,League and Championship Cards,MEG131,Ultra Ball,Pokemon Latin America International Championships Stamp,Brazilian Portuguese,Mega Evolution - 2026 Pokemon Latin America International Championships merchandise,Competitor promo
,MEG,Mega Evolution,League and Championship Cards,MEG131,Ultra Ball,Pokemon North America International Championships Stamp,US,Mega Evolution - 2026 Pokemon North America International Championships merchandise,Competitor promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP001,Meganium,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP002,Inteleon,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP003,Alakazam,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP004,Lunatone,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP014,Ceruledge,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP015,Zacian,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP016,Flygon,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP017,Toxtricity,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP064,Serperior,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP065,Barbaracle,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP066,Tyrantrum,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP067,Doublade,Black Star Promo,US/UK,Perfect Order - Perfect Order Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP074,Delphox,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP075,Ampharos,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP076,Crobat,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,Stamped Cards,MEP077,Goodra,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Build & Battle Box,Prerelease promo
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP005,Drifloon,Pixel Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP006,Drifblim,Pixel Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP007,Psyduck,Pixel Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP008,Golduck,Pixel Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP009,Alakazam,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Elite Trainer Box,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP009,Alakazam,Pokemon Center Stamp,US/UK,Mega Evolution - Mega Evolution Elite Trainer Box,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP010,Riolu,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Elite Trainer Box,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP010,Riolu,Pokemon Center Stamp,US/UK,Mega Evolution - Mega Evolution Elite Trainer Box,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP011,Mega Latias ex,Black Star Promo,US/UK,Mega Evolution - Mega Latias ex Box,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP013,Mega Venusaur ex,Black Star Promo,US/UK,Mega Evolution - Mega Venusaur ex Premium Collection,Europe release 2025-11-14
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP018,Cottonee,Smooth Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP019,Whimsicott,Smooth Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP020,Sneasel,Smooth Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP021,Weavile,Smooth Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP022,Charcadet,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Elite Trainer Box,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP022,Charcadet,Pokemon Center Stamp,US/UK,Phantasmal Flames - Phantasmal Flames Elite Trainer Box,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP023,Mega Charizard X ex,Black Star Promo,US/UK,Phantasmal Flames - Mega Charizard X ex Ultra-Premium Collection,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP024,Oricorio ex,Black Star Promo,US/UK,Phantasmal Flames - Mega Charizard X ex Ultra-Premium Collection,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP025,Mega Kangaskhan ex,Black Star Promo,US/UK,Mega Evolution - Mega Kangaskhan ex Box,Europe release 2025-11-14
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP029,Mega Charizard X ex,Black Star Promo,US/UK,Ascended Heroes - Mega Charizard Tins,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP030,Mega Charizard Y ex,Black Star Promo,US/UK,Ascended Heroes - Mega Charizard Tins,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP031,N's Zekrom,Black Star Promo,US/UK,Ascended Heroes - Ascended Heroes Elite Trainer Box,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP031,N's Zekrom,Pokemon Center Stamp,US/UK,Ascended Heroes - Ascended Heroes Elite Trainer Box,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP034,Mega Meganium ex,Black Star Promo,US/UK,Ascended Heroes - Mega Meganium ex Box | Ascended Heroes - Ascended Heroes Tins,Previously released in Mega Meganium ex Box
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP035,Mega Emboar ex,Black Star Promo,US/UK,Ascended Heroes - Mega Emboar ex Box | Ascended Heroes - Ascended Heroes Tins,Previously released in Mega Emboar ex Box
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP036,Mega Feraligatr ex,Black Star Promo,US/UK,Ascended Heroes - Mega Feraligatr ex Box | Ascended Heroes - Ascended Heroes Tins,Previously released in Mega Feraligatr ex Box
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP068,Makuhita,Smooth Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP069,Chikorita,Smooth Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP070,Tyrunt,Black Star Promo,US/UK,Perfect Order - Perfect Order Elite Trainer Box,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP070,Tyrunt,Pokemon Center Stamp,US/UK,Perfect Order - Perfect Order Elite Trainer Box,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP071,Mega Zygarde ex,Black Star Promo,US/UK,Perfect Order - Mega Zygarde ex Premium Collection,Europe release 2026-05-01
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP072,Mega Clefable ex,Black Star Promo,US/UK,Chaos Rising - Mega Moonlit Tins,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP073,Mega Gengar ex,Black Star Promo,US/UK,Chaos Rising - Mega Moonlit Tins,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP078,Toxel,Smooth Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP079,Charmeleon,Smooth Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP080,Fennekin,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Elite Trainer Box,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP080,Fennekin,Pokemon Center Stamp,US/UK,Chaos Rising - Chaos Rising Elite Trainer Box,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP081,Mega Greninja ex,Black Star Promo,US/UK,Chaos Rising - Mega Greninja ex Premium Collection,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP086,Slowpoke,Smooth Cosmos Holo,US/UK,Pitch Black - Pitch Black Blisters,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP087,Binacle,Smooth Cosmos Holo,US/UK,Pitch Black - Pitch Black Blisters,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP088,Zarude,Black Star Promo,US/UK,Pitch Black - Pitch Black Elite Trainer Box,
,MEP,Mega Evolution Black Star Promos,MCAP Cards,MEP088,Zarude,Pokemon Center Stamp,US/UK,Pitch Black - Pitch Black Elite Trainer Box,
,MEP,Mega Evolution Black Star Promos,League and Championship Cards,MEP092,Paradise Resort,World Championships 2026 Stamp,US,Mega Evolution - 2026 Pokemon World Championships merchandise,Competitor promo
,MEP,Mega Evolution Black Star Promos,League and Championship Cards,MEP093,Pikachu,2026 Pokemon World Championships Logo Stamp,US,Mega Evolution - 2026 Pokemon World Championships merchandise,Participation promo
,MEP,Mega Evolution Black Star Promos,League and Championship Cards,MEP093,Pikachu,Play Pokemon Winner Stamp,US,Mega Evolution - 2026 Pokemon World Championships merchandise,Winner promo
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP012,Mega Lucario ex,Black Star Promo,US/UK,Mega Evolution - Mega Lucario ex Figure Collection,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP026,Meloetta,Black Star Promo,US/UK,Mega Evolution - Mega Battle Deck Mega Diancie ex,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP027,Haunter,Black Star Promo,US/UK,Mega Evolution - Mega Battle Deck Mega Gengar ex,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP032,Mega Gardevoir ex,Black Star Promo,US/UK,Ascended Heroes - Ascended Heroes Premium Poster Collection,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP033,Mega Lucario ex,Black Star Promo,US/UK,Ascended Heroes - Ascended Heroes Premium Poster Collection,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP037,Bulbasaur,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 1,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP038,Charmander,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 1,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP039,Squirtle,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 1,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP040,Turtwig,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 1,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP041,Chimchar,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 1,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP042,Piplup,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 1,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP043,Rowlet,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 1,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP044,Litten,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 1,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP045,Popplio,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 1,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP046,Chikorita,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 2,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP047,Cyndaquil,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 2,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP048,Totodile,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 2,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP049,Snivy,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 2,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP050,Tepig,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 2,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP051,Oshawott,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 2,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP052,Grookey,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 2,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP053,Scorbunny,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 2,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP054,Sobble,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 2,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP055,Treecko,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 3,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP056,Torchic,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 3,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP057,Mudkip,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 3,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP058,Chespin,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 3,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP059,Fennekin,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 3,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP060,Froakie,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 3,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP061,Sprigatito,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 3,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP062,Fuecoco,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 3,
,MEP,Mega Evolution Black Star Promos,Other Cards,MEP063,Quaxly,Black Star Promo,US/UK,Mega Evolution - First Partner Illustration Collection Series 3,
,PBL,Pitch Black,MCAP Cards,PBL056,Zarude,Pixel Cosmos Holo,US/UK,Pitch Black - Zarude Two Pack Blister,Released August 2026
,PBL,Pitch Black,MCAP Cards,,Mega Darkrai ex,Black Star Promo,US/UK,Pitch Black - Mega Forces Tins,MEP promo number not specified in source
,PBL,Pitch Black,MCAP Cards,,Mega Dragonite ex,Black Star Promo,US/UK,Pitch Black - Mega Forces Tins,MEP promo number not specified in source
,PBL,Pitch Black,MCAP Cards,,Mega Zeraora ex,Black Star Promo,US/UK,Pitch Black - Mega Forces Tins,MEP promo number not specified in source
,PFL,Phantasmal Flames,Stamped Cards,PFL017,Reshiram,Phantasmal Flames Stamp,US,Phantasmal Flames - Retailer Gift With Purchase,Hot Topic or Barnes & Noble; spend 15 dollars on Pokemon TCG products
,PFL,Phantasmal Flames,Stamped Cards,PFL026,Suicune,EB Games Stamp,Canada/Australia/New Zealand,Phantasmal Flames - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,PFL,Phantasmal Flames,Stamped Cards,PFL026,Suicune,GameStop Stamp,US,Phantasmal Flames - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
