Card Name,Card Number,Variant,Region,Purchase Options,Source Rows
Team Rocket's Nidoking ex,DRI119,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,47
Team Rocket's Crobat ex,DRI122,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,45
Arven's Mabosstiff ex,DRI139,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,3
Cynthia's Power Weight,DRI162,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,54
Ethan's Adventure,DRI165,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,56
Team Rocket's Archer,DRI170,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,75
Team Rocket's Ariana,DRI171,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,76
Team Rocket's Factory,DRI173,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,78
Team Rocket's Giovanni,DRI174,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,79
Team Rocket's Petrel,DRI176,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,80
Team Rocket's Proton,DRI177,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,81
Team Rocket's Transceiver,DRI178,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,82
Team Rocket's Energy,DRI182,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,77
N's Darmanitan,JTG027,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,39
Iono's Voltorb,JTG047,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,23
Iono's Bellibolt ex,JTG053,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,21
Iono's Kilowattrel,JTG055,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,22
Lillie's Clefairy ex,JTG056,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,26
Lillie's Ribombee,JTG067,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,27
N's Zoroark ex,JTG098,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,41
Hop's Zacian ex,JTG111,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,20
N's Reshiram,JTG116,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,40
Hop's Snorlax,JTG117,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,19
Hop's Dubwool,JTG136,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,18
Hop's Choice Band,JTG148,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,59
Levincia,JTG150,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,61
Lillie's Pearl,JTG151,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,63
N's PP Up,JTG153,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,67
Postwick,JTG154,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,68
Basic Grass Energy,MEE001,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,87
Basic Fire Energy,MEE002,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,86
Basic Water Energy,MEE003,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,91
Basic Lightning Energy,MEE004,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,88
Basic Psychic Energy,MEE005,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,90
Basic Fighting Energy,MEE006,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,85
Basic Darkness Energy,MEE007,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,84
Basic Metal Energy,MEE008,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,89
Mega Venusaur ex,MEG003,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,38
Mega Camerupt ex,MEG022,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,31
Cinderace,MEG028,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,5
Mega Abomasnow ex,MEG036,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,29
Mega Manectric ex,MEG050,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,36
Mega Gardevoir ex,MEG060,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,32
Hariyama,MEG073,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,17
Lunatone,MEG074,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,28
Solrock,MEG075,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,44
Mega Lucario ex,MEG077,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,35
Mega Absol ex,MEG086,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,30
Mega Mawile ex,MEG094,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,37
Mega Latias ex,MEG100,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,34
Latios,MEG101,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,25
Mega Kangaskhan ex,MEG104,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,33
Boss's Orders,MEG114,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,52
Fighting Gong,MEG116,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,57
Forest of Vitality,MEG117,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,58
Iron Defender,MEG118,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,60
Lillie's Determination,MEG119,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,62
Mega Signal,MEG121,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,65
Mystery Garden,MEG122,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,66
Premium Power Pro,MEG124,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,70
Risky Ruins,MEG127,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,71
Strange Timepiece,MEG128,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,73
Surfing Beach,MEG129,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,74
Wally's Compassion,MEG132,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,83
Budew,PRE004,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,4
Max Rod,PRE116,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,64
Sparkling Crystal,PRE129,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,72
Archaludon,SCR107,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,2
Brilliant Blender,SSP164,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,53
Energy Search Pro,SSP176,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,55
Precious Trolley,SSP185,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,69
Emboar,WHT013,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,11
Reshiram ex,WHT020,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,42
