Source Row,Release Set,Release Date,Product,Product Type,Card Name,Card Number,Variant,Region,Notes
14,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Ethan's Quilava,DRI033,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
15,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Ethan's Typhlosion,DRI034,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
16,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Genesect ex,BLK067,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
17,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Hariyama,MEG073,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
18,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Hop's Dubwool,JTG136,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
19,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Hop's Snorlax,JTG117,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
20,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Hop's Zacian ex,JTG111,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
21,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Iono's Bellibolt ex,JTG053,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
22,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Iono's Kilowattrel,JTG055,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
23,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Iono's Voltorb,JTG047,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
24,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Kyurem ex,BLK028,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
25,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Latios,MEG101,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
26,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Lillie's Clefairy ex,JTG056,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
27,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Lillie's Ribombee,JTG067,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
28,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Lunatone,MEG074,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
29,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Mega Abomasnow ex,MEG036,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
30,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Mega Absol ex,MEG086,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
31,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Mega Camerupt ex,MEG022,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
32,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Mega Gardevoir ex,MEG060,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
33,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Mega Kangaskhan ex,MEG104,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
34,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Mega Latias ex,MEG100,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
35,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Mega Lucario ex,MEG077,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
36,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Mega Manectric ex,MEG050,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
37,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Mega Mawile ex,MEG094,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
38,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Mega Venusaur ex,MEG003,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
39,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,N's Darmanitan,JTG027,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
40,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,N's Reshiram,JTG116,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
41,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,N's Zoroark ex,JTG098,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
42,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Reshiram ex,WHT020,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
43,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Shaymin,DRI010,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
44,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Solrock,MEG075,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
45,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Team Rocket's Crobat ex,DRI122,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
46,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Team Rocket's Mewtwo ex,DRI081,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
47,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Team Rocket's Nidoking ex,DRI119,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
48,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Team Rocket's Spidops,DRI020,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
49,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Yanmega ex,DRI003,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
50,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Zekrom ex,BLK034,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
51,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Air Balloon,BLK079,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
52,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Boss's Orders,MEG114,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
53,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Brilliant Blender,SSP164,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
54,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Cynthia's Power Weight,DRI162,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
55,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Energy Search Pro,SSP176,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
56,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Ethan's Adventure,DRI165,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
57,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Fighting Gong,MEG116,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
58,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Forest of Vitality,MEG117,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
59,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Hop's Choice Band,JTG148,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
60,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Iron Defender,MEG118,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
61,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Levincia,JTG150,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
62,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Lillie's Determination,MEG119,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
63,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Lillie's Pearl,JTG151,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
64,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Max Rod,PRE116,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
65,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Mega Signal,MEG121,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
66,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Mystery Garden,MEG122,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
67,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,N's PP Up,JTG153,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
68,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Postwick,JTG154,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
69,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Precious Trolley,SSP185,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
70,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Premium Power Pro,MEG124,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
71,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Risky Ruins,MEG127,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
72,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Sparkling Crystal,PRE129,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
73,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Strange Timepiece,MEG128,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
74,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Surfing Beach,MEG129,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
75,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Team Rocket's Archer,DRI170,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
76,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Team Rocket's Ariana,DRI171,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
77,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Team Rocket's Energy,DRI182,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
78,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Team Rocket's Factory,DRI173,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
79,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Team Rocket's Giovanni,DRI174,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
80,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Team Rocket's Petrel,DRI176,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
81,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Team Rocket's Proton,DRI177,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
82,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Team Rocket's Transceiver,DRI178,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
83,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Wally's Compassion,MEG132,Play Pokemon Stamp,US/UK,Official card list; one checkbox mark extracted
84,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Basic Darkness Energy,MEE007,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
85,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Basic Fighting Energy,MEE006,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
86,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Basic Fire Energy,MEE002,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
87,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Basic Grass Energy,MEE001,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
88,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Basic Lightning Energy,MEE004,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
89,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Basic Metal Energy,MEE008,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
90,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Basic Psychic Energy,MEE005,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
91,Play Pokemon Prize Pack Series Eight,,Play Pokemon Prize Pack Series Eight,Prize Pack,Basic Water Energy,MEE003,Play Pokemon Stamp,US/UK,Official card list; two checkbox marks extracted
