Release Set,Release Date,Product,Product Type,Card Name,Card Number,Variant,Region,Notes
Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Hawlucha,SVP007,Black Star Promo,US/UK,One of four possible promo decks
Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Revavroom,SVP008,Black Star Promo,US/UK,One of four possible promo decks
Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Quaquaval,SVP005,Staff Stamp,US/UK,Prerelease staff variant
Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Pawmot,SVP006,Staff Stamp,US/UK,Prerelease staff variant
Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Hawlucha,SVP007,Staff Stamp,US/UK,Prerelease staff variant
Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Revavroom,SVP008,Staff Stamp,US/UK,Prerelease staff variant
Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Quaquaval,SVI054,Non Holo,US/UK,Deck-exclusive
Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Dondozo,SVI061,Non Holo,US/UK,Deck-exclusive
Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Pawmot,SVI076,Non Holo,US/UK,Deck-exclusive
Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Revavroom,SVI142,Non Holo,US/UK,Deck-exclusive
Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Professor's Research,SVI189,Non Holo,US/UK,Deck-exclusive (Professor Sada)
Scarlet & Violet,2023-03-18,Build & Battle Box,Build & Battle Box,Professor's Research,SVI190,Non Holo,US/UK,Deck-exclusive (Professor Turo)
Scarlet & Violet,2023-03-31,Single Pack Blister,Single Pack Blister,Spidops,SVP009,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
Scarlet & Violet,,Single Pack Blister (Reprint),Single Pack Blister,Spidops,SVP009,Pixel Cosmos,US/UK,Mid-2024 reprint
Scarlet & Violet,2023-03-31,Single Pack Blister,Single Pack Blister,Espathra,SVP010,Smooth Cosmos,US/UK,
Scarlet & Violet,2023-03-31,3-Pack Blister,Three Pack Blister,Arcanine,SVP011,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
Scarlet & Violet,,3-Pack Blister (Reprint),Three Pack Blister,Arcanine,SVP011,Pixel Cosmos,US/UK,Mid-2024 reprint
Scarlet & Violet,2023-03-31,3-Pack Blister,Three Pack Blister,Dondozo,SVP012,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
Scarlet & Violet,,3-Pack Blister (Reprint),Three Pack Blister,Dondozo,SVP012,Pixel Cosmos,US/UK,Mid-2024 reprint
Scarlet & Violet,2023-03-31,Elite Trainer Box,Elite Trainer Box,Miraidon,SVP013,Black Star Promo,US/UK,
Scarlet & Violet,2023-03-31,Pokemon Center ETB,Pokemon Center Elite Trainer Box,Miraidon,SVP013,Pokemon Center Stamp,US/UK,
Scarlet & Violet,2023-03-31,Elite Trainer Box,Elite Trainer Box,Koraidon,SVP014,Black Star Promo,US/UK,
Scarlet & Violet,2023-03-31,Pokemon Center ETB,Pokemon Center Elite Trainer Box,Koraidon,SVP014,Pokemon Center Stamp,US/UK,
Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Quaquaval,SVP005,Black Star Promo,US/UK,Contains two Build & Battle Boxes
Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Pawmot,SVP006,Black Star Promo,US/UK,Contains two Build & Battle Boxes
Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Hawlucha,SVP007,Black Star Promo,US/UK,Contains two Build & Battle Boxes
Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Revavroom,SVP008,Black Star Promo,US/UK,Contains two Build & Battle Boxes
Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Quaquaval,SVI054,Non Holo,US/UK,Deck-exclusive
Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Dondozo,SVI061,Non Holo,US/UK,Deck-exclusive
Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Pawmot,SVI076,Non Holo,US/UK,Deck-exclusive
Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Revavroom,SVI142,Non Holo,US/UK,Deck-exclusive
Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Professor's Research,SVI189,Non Holo,US/UK,Deck-exclusive (Professor Sada)
Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Professor's Research,SVI190,Non Holo,US/UK,Deck-exclusive (Professor Turo)
Scarlet & Violet,2023-05-05,Ampharos ex Battle Deck,ex Battle Deck,Flaaffy,SVP015,Black Star Promo,US/UK,
Scarlet & Violet,2023-05-05,Ampharos ex Battle Deck,ex Battle Deck,Ampharos ex,SVP016,Black Star Promo,US/UK,
Scarlet & Violet,2023-05-05,Ampharos ex Battle Deck,ex Battle Deck,Miraidon,SVI080,Non Holo,US/UK,Deck-exclusive
Scarlet & Violet,2023-05-05,Lucario ex Battle Deck,ex Battle Deck,Lucario ex,SVP017,Black Star Promo,US/UK,
Scarlet & Violet,2023-05-05,Lucario ex Battle Deck,ex Battle Deck,Annihilape,SVI109,Non Holo,US/UK,Deck-exclusive
Scarlet & Violet,2023-05-05,Lucario ex Battle Deck,ex Battle Deck,Koraidon,SVI124,Non Holo,US/UK,Deck-exclusive
Scarlet & Violet,2023-05-05,Lucario ex Battle Deck,ex Battle Deck,Cyclizar,SVI164,Non Holo,US/UK,Deck-exclusive
Scarlet & Violet,2023-05-05,Cyclizar ex Box,Collection Box,Cyclizar ex,SVP018,Black Star Promo,US/UK,
Scarlet & Violet,2023-05-05,Cyclizar ex Box,Collection Box,Rotom,SVI070,Cosmos Holo,US/UK,Product-exclusive holo treatment
Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Baxcalibur,SVP019,Black Star Promo,US/UK,One of four possible promo decks
Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Tinkaton,SVP020,Black Star Promo,US/UK,One of four possible promo decks
Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Murkrow,SVP021,Black Star Promo,US/UK,One of four possible promo decks
Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Pelipper,SVP022,Black Star Promo,US/UK,One of four possible promo decks
Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Baxcalibur,SVP019,Staff Stamp,US/UK,Prerelease staff variant
Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Tinkaton,SVP020,Staff Stamp,US/UK,Prerelease staff variant
Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Murkrow,SVP021,Staff Stamp,US/UK,Prerelease staff variant
Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Pelipper,SVP022,Staff Stamp,US/UK,Prerelease staff variant
Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Lokix,PAL021,Non Holo,US/UK,Deck-exclusive
Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Baxcalibur,PAL060,Non Holo,US/UK,Deck-exclusive
Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Tinkaton,PAL105,Non Holo,US/UK,Deck-exclusive
Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Boss's Orders,PAL172,Non Holo,US/UK,Deck-exclusive
Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Professor's Research,SVI189,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Sada
Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Professor's Research,SVI190,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Turo
Paldea Evolved,2023-06-09,Single Pack Blister,Single Pack Blister,Smoliv,SVP023,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
Paldea Evolved,,Single Pack Blister (Reprint),Single Pack Blister,Smoliv,SVP023,Pixel Cosmos,US/UK,Mid-2024 reprint
Paldea Evolved,2023-06-09,Single Pack Blister,Single Pack Blister,Growlithe,SVP024,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
Paldea Evolved,,Single Pack Blister (Reprint),Single Pack Blister,Growlithe,SVP024,Pixel Cosmos,US/UK,Mid-2024 reprint
Paldea Evolved,2023-06-09,3-Pack Blister,Three Pack Blister,Tinkatink,SVP025,Smooth Cosmos,US/UK,
Paldea Evolved,2023-06-09,3-Pack Blister,Three Pack Blister,Varoom,SVP026,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
Paldea Evolved,,3-Pack Blister (Reprint),Three Pack Blister,Varoom,SVP026,Pixel Cosmos,US/UK,Mid-2024 reprint
Paldea Evolved,2023-06-09,Premium Checklane Blister,Premium Checklane Blister,Arboliva,SVI023,Vertical Line Holo,US/UK,Product-exclusive holo treatment
Paldea Evolved,2023-06-09,Premium Checklane Blister,Premium Checklane Blister,Pawmot,SVI076,Vertical Line Holo,US/UK,Product-exclusive holo treatment
Paldea Evolved,2023-06-09,Stage 1 Blister,Stage 1 Blister,Armarouge,SVI041,Vertical Line Holo,US/UK,Product-exclusive holo treatment
Paldea Evolved,2023-06-09,Stage 1 Blister,Stage 1 Blister,Dondozo,SVI061,Vertical Line Holo,US/UK,Product-exclusive holo treatment
Paldea Evolved,2023-06-09,Premium Checklane Blister,Premium Checklane Blister,Dolliv,SVI022,Non Holo,US/UK,Included with Arboliva blister
Paldea Evolved,2023-06-09,Premium Checklane Blister,Premium Checklane Blister,Pawmi,SVI073,Non Holo,US/UK,Included with Pawmot blister
Paldea Evolved,2023-06-09,Premium Checklane Blister,Premium Checklane Blister,Pawmo,SVI075,Non Holo,US/UK,Included with Pawmot blister
Paldea Evolved,2023-06-09,Stage 1 Blister,Stage 1 Blister,Smoliv,SVI020,Non Holo,US/UK,Included with Arboliva blister
Paldea Evolved,2023-06-09,Stage 1 Blister,Stage 1 Blister,Charcadet,SVI039,Non Holo,US/UK,Included with Armarouge blister
Paldea Evolved,2023-06-09,Stage 1 Blister,Stage 1 Blister,Tatsugiri,SVI062,Non Holo,US/UK,Included with Dondozo blister
Paldea Evolved,2023-06-09,Elite Trainer Box,Elite Trainer Box,Pikachu,SVP027,Black Star Promo,US/UK,
Paldea Evolved,2023-06-09,Pokemon Center ETB,Pokemon Center Elite Trainer Box,Pikachu,SVP027,Pokemon Center Stamp,US/UK,
Paldea Evolved,2023-06-09,Paldea Legends Tin,Tin,Miraidon ex,SVP028,Black Star Promo,US/UK,Available in hexagonal and octagonal tin designs
Paldea Evolved,2023-06-09,Paldea Legends Tin,Tin,Koraidon ex,SVP029,Black Star Promo,US/UK,Available in hexagonal and octagonal tin designs
Paldea Evolved,2023-06-09,Trainer's Toolkit 2023,Trainer's Toolkit,Professor's Research,SVI189,Non Holo,US/UK,Two copies included; rereleased promotional card
Paldea Evolved,2023-06-09,Trainer's Toolkit 2023,Trainer's Toolkit,Professor's Research,SVI190,Non Holo,US/UK,Two copies included; rereleased promotional card
Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Baxcalibur,SVP019,Black Star Promo,US/UK,Contains two Build & Battle Boxes
Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Tinkaton,SVP020,Black Star Promo,US/UK,Contains two Build & Battle Boxes
Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Murkrow,SVP021,Black Star Promo,US/UK,Contains two Build & Battle Boxes
Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Pelipper,SVP022,Black Star Promo,US/UK,Contains two Build & Battle Boxes
Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Lokix,PAL021,Non Holo,US/UK,Deck-exclusive; contains two Build & Battle Boxes
Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Baxcalibur,PAL060,Non Holo,US/UK,Deck-exclusive; contains two Build & Battle Boxes
Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Tinkaton,PAL105,Non Holo,US/UK,Deck-exclusive; contains two Build & Battle Boxes
Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Boss's Orders,PAL172,Non Holo,US/UK,Deck-exclusive; contains two Build & Battle Boxes
Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Professor's Research,SVI189,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Sada
Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Professor's Research,SVI190,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Turo
Paldea Evolved,2023-07-14,Chien-Pao ex Battle Deck,ex Battle Deck,Chien-Pao ex,SVP030,Black Star Promo,US/UK,Alternate artwork
Paldea Evolved,2023-07-14,Chien-Pao ex Battle Deck,ex Battle Deck,Baxcalibur,PAL060,Non Holo,US/UK,Rereleased promotional card
Paldea Evolved,2023-07-14,Tinkaton ex Battle Deck,ex Battle Deck,Tinkaton ex,SVP031,Black Star Promo,US/UK,Cut from Paldea Evolved during localization
Paldea Evolved,2023-07-14,Annihilape ex Box,Collection Box,Annihilape ex,SVP032,Black Star Promo,US/UK,Cut from Paldea Evolved during localization
Paldea Evolved,2023-07-14,Annihilape ex Box,Collection Box,Mankey,PAL106,Pixel Cosmos,US/UK,Product-exclusive holo treatment
Paldea Evolved,2023-07-14,Annihilape ex Box,Collection Box,Primeape,PAL107,Pixel Cosmos,US/UK,Product-exclusive holo treatment
Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Palafin,SVP036,Black Star Promo,US/UK,One of four possible promo decks
Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Cleffa,SVP037,Black Star Promo,US/UK,One of four possible promo decks
Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Togekiss,SVP038,Black Star Promo,US/UK,One of four possible promo decks
Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Mawile,SVP039,Black Star Promo,US/UK,One of four possible promo decks
Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Palafin,SVP036,Staff Stamp,US/UK,Prerelease staff variant
Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Cleffa,SVP037,Staff Stamp,US/UK,Prerelease staff variant
Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Togekiss,SVP038,Staff Stamp,US/UK,Prerelease staff variant
Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Mawile,SVP039,Staff Stamp,US/UK,Prerelease staff variant
Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Palafin,OBF062,Non Holo,US/UK,Deck-exclusive
Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Toxtricity,OBF072,Non Holo,US/UK,Deck-exclusive
Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Togekiss,OBF085,Non Holo,US/UK,Deck-exclusive
Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Professor's Research,SVI189,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Sada
Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Professor's Research,SVI190,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Turo
Obsidian Flames,2023-08-04,Summer 2023 Collector Chest,Collector Chest,Sprigatito,PAL013,Mirage Holo,US/UK,Product-exclusive holo treatment
Obsidian Flames,2023-08-04,Summer 2023 Collector Chest,Collector Chest,Fuecoco,PAL034,Mirage Holo,US/UK,Product-exclusive holo treatment
Obsidian Flames,2023-08-04,Summer 2023 Collector Chest,Collector Chest,Quaxly,PAL050,Mirage Holo,US/UK,Product-exclusive holo treatment
Obsidian Flames,2023-08-04,Enhanced 2-Pack Blister,2-Pack Blister,Armarouge,SVI041,Mirage Holo,US/UK,Armarouge Revavroom and Houndstone blister
Obsidian Flames,2023-08-04,Enhanced 2-Pack Blister,2-Pack Blister,Houndstone,SVI106,Mirage Holo,US/UK,Armarouge Revavroom and Houndstone blister
Obsidian Flames,2023-08-04,Enhanced 2-Pack Blister,2-Pack Blister,Revavroom,SVI142,Mirage Holo,US/UK,Armarouge Revavroom and Houndstone blister
Obsidian Flames,2023-08-11,Single Pack Blister,Single Pack Blister,Pawmi,SVP040,Smooth Cosmos,US/UK,
Obsidian Flames,2023-08-11,Single Pack Blister,Single Pack Blister,Paldean Wooper,SVP041,Smooth Cosmos,US/UK,
Obsidian Flames,2023-08-11,3-Pack Blister,Three Pack Blister,Houndstone,SVP042,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
Obsidian Flames,,3-Pack Blister (Reprint),Three Pack Blister,Houndstone,SVP042,Pixel Cosmos,US/UK,Mid-2024 reprint
Obsidian Flames,2023-08-11,3-Pack Blister,Three Pack Blister,Eevee,SVP043,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
Obsidian Flames,,3-Pack Blister (Reprint),Three Pack Blister,Eevee,SVP043,Pixel Cosmos,US/UK,Mid-2024 reprint
Obsidian Flames,2023-08-11,Premium Checklane Blister,Premium Checklane Blister,Mankey,SVI107,Non Holo,US/UK,Included with Annihilape blister
Obsidian Flames,2023-08-11,Premium Checklane Blister,Premium Checklane Blister,Primeape,SVI108,Non Holo,US/UK,Included with Annihilape blister
Obsidian Flames,2023-08-11,Premium Checklane Blister,Premium Checklane Blister,Annihilape,SVI109,Non Holo,US/UK,Included with Annihilape blister
Obsidian Flames,2023-08-11,Premium Checklane Blister,Premium Checklane Blister,Pawniard,SVI132,Non Holo,US/UK,Included with Kingambit blister
Obsidian Flames,2023-08-11,Premium Checklane Blister,Premium Checklane Blister,Bisharp,SVI133,Non Holo,US/UK,Included with Kingambit blister
Obsidian Flames,2023-08-11,Premium Checklane Blister,Premium Checklane Blister,Kingambit,SVI134,Non Holo,US/UK,Included with Kingambit blister
Obsidian Flames,2023-08-11,Stage 1 Blister,Stage 1 Blister,Greavard,SVI104,Non Holo,US/UK,Included with Houndstone blister
Obsidian Flames,2023-08-11,Stage 1 Blister,Stage 1 Blister,Houndstone,SVI106,Non Holo,US/UK,Included with Houndstone blister
Obsidian Flames,2023-08-11,Stage 1 Blister,Stage 1 Blister,Varoom,SVI141,Non Holo,US/UK,Included with Revavroom blister
Obsidian Flames,2023-08-11,Stage 1 Blister,Stage 1 Blister,Revavroom,SVI142,Non Holo,US/UK,Included with Revavroom blister
Obsidian Flames,2023-08-11,Elite Trainer Box,Elite Trainer Box,Charmander,SVP044,Black Star Promo,US/UK,
Obsidian Flames,2023-08-11,Pokemon Center ETB,Pokemon Center Elite Trainer Box,Charmander,SVP044,Pokemon Center Stamp,US/UK,
Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Palafin,SVP036,Black Star Promo,US/UK,Contains two Build & Battle Boxes
Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Cleffa,SVP037,Black Star Promo,US/UK,Contains two Build & Battle Boxes
Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Togekiss,SVP038,Black Star Promo,US/UK,Contains two Build & Battle Boxes
Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Mawile,SVP039,Black Star Promo,US/UK,Contains two Build & Battle Boxes
Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Palafin,OBF062,Non Holo,US/UK,Deck-exclusive; contains two Build & Battle Boxes
Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Toxtricity,OBF072,Non Holo,US/UK,Deck-exclusive; contains two Build & Battle Boxes
Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Togekiss,OBF085,Non Holo,US/UK,Deck-exclusive; contains two Build & Battle Boxes
Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Professor's Research,SVI189,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Sada
Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Professor's Research,SVI190,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Turo
Obsidian Flames,2023-09-01,Paldea Partners Tin,Tin,Meowscarada ex,SVP033,Black Star Promo,US/UK,Available in hexagonal and octagonal tin designs
Obsidian Flames,2023-09-01,Paldea Partners Tin,Tin,Skeledirge ex,SVP034,Black Star Promo,US/UK,Available in hexagonal and octagonal tin designs
Obsidian Flames,2023-09-01,Paldea Partners Tin,Tin,Quaquaval ex,SVP035,Black Star Promo,US/UK,Available in hexagonal and octagonal tin designs
Obsidian Flames,2023-09-01,Meowscarada ex Deluxe Battle Deck,Deluxe Battle Deck,Indeedee,SVI153,Non Holo,US/UK,Exclusive promotional card
Obsidian Flames,2023-09-01,Meowscarada ex Deluxe Battle Deck,Deluxe Battle Deck,Professor's Research,SVI189,Non Holo,US/UK,Rereleased promotional card
Obsidian Flames,2023-09-01,Quaquaval ex Deluxe Battle Deck,Deluxe Battle Deck,Baxcalibur,PAL060,Non Holo,US/UK,Rereleased promotional card
Obsidian Flames,2023-09-01,Quaquaval ex Deluxe Battle Deck,Deluxe Battle Deck,Boss's Orders,PAL172,Non Holo,US/UK,Rereleased promotional card
Obsidian Flames,2023-09-08,Paradox Powers ex Special Collection,Special Collection,Miraidon ex,SVI081,Holo,US/UK,Amazon exclusive
Obsidian Flames,2023-09-08,Paradox Powers ex Special Collection,Special Collection,Koraidon ex,SVI125,Holo,US/UK,Amazon exclusive
151,2023-09-22,Elite Trainer Box,Elite Trainer Box,Snorlax,SVP051,Black Star Promo,US/UK,
151,2023-09-22,Pokemon Center ETB,Pokemon Center Elite Trainer Box,Snorlax,SVP051,Pokemon Center Stamp,US/UK,
151,2023-09-22,Poster Collection,Collection Box,Bulbasaur,SVP046,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
151,,Poster Collection (Reprint),Collection Box,Bulbasaur,SVP046,Pixel Cosmos,US/UK,Early 2024 reprint
151,2023-09-22,Poster Collection,Collection Box,Charmander,SVP047,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
151,,Poster Collection (Reprint),Collection Box,Charmander,SVP047,Pixel Cosmos,US/UK,Early 2024 reprint
151,2023-09-22,Poster Collection,Collection Box,Squirtle,SVP048,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
151,,Poster Collection (Reprint),Collection Box,Squirtle,SVP048,Pixel Cosmos,US/UK,Early 2024 reprint
151,2023-09-22,Evolving Powers Premium Collection,Premium Collection,Magnemite,SVI063,Reprint,US/UK,
151,2023-09-22,Evolving Powers Premium Collection,Premium Collection,Magneton,SVI064,Reprint,US/UK,
151,2023-09-22,Evolving Powers Premium Collection,Premium Collection,Magnezone ex,SVI065,Reprint,US/UK,
151,2023-09-22,Evolving Powers Premium Collection,Premium Collection,Ralts,SVI084,Reprint,US/UK,
151,2023-09-22,Evolving Powers Premium Collection,Premium Collection,Kirlia,SVI085,Reprint,US/UK,
151,2023-09-22,Evolving Powers Premium Collection,Premium Collection,Gardevoir ex,SVI086,Reprint,US/UK,
151,2023-10-06,Zapdos ex Collection,Collection Box,Zapdos ex,SVP049,Black Star Promo,US/UK,
151,2023-10-06,Zapdos ex Collection,Collection Box,Electabuzz,MEW125,Smooth Cosmos,US/UK,
151,2023-10-06,Zapdos ex Collection (Reprint),Collection Box,Electabuzz,MEW125,Pixel Cosmos,US/UK,
151,2023-10-06,Alakazam ex Collection,Collection Box,Alakazam ex,SVP050,Black Star Promo,US/UK,
151,2023-10-06,Alakazam ex Collection,Collection Box,Abra,MEW063,Smooth Cosmos,US/UK,
151,2023-10-06,Alakazam ex Collection (Reprint),Collection Box,Abra,MEW063,Pixel Cosmos,US/UK,
151,2023-10-06,Alakazam ex Collection,Collection Box,Kadabra,MEW064,Pixel Cosmos,US/UK,
151,2023-10-06,Ultra-Premium Collection,Ultra-Premium Collection,Mewtwo,SVP052,Black Star Promo,US/UK,
151,2023-10-06,Ultra-Premium Collection,Ultra-Premium Collection,Mew ex,SVP053,Black Star Promo,US/UK,
151,2023-10-06,Ultra-Premium Collection,Ultra-Premium Collection,Mew ex,MEW205,Metal Card,US/UK,
151,2023-10-06,Greninja ex Battle Deck,ex Battle Deck,Greninja ex,SVP054,Black Star Promo,US/UK,Cut from Obsidian Flames during localization
151,2023-10-06,Kangaskhan ex Battle Deck,ex Battle Deck,Kangaskhan ex,SVP055,Black Star Promo,US/UK,Alternate artwork
151,2023-10-06,Greninja & Kangaskhan ex Battle Decks,ex Battle Deck,Arboliva,SVI023,Non Holo,US/UK,Exclusive promotional card; exact deck mapping to verify
151,2023-10-06,Greninja & Kangaskhan ex Battle Decks,ex Battle Deck,Quaquaval,SVI054,Non Holo,US/UK,Rereleased promotional card; exact deck mapping to verify
151,2023-10-06,Greninja & Kangaskhan ex Battle Decks,ex Battle Deck,Boss's Orders,PAL172,Non Holo,US/UK,Rereleased promotional card; exact deck mapping to verify
151,2023-10-20,Charizard ex Premium Collection,Premium Collection,Charizard ex,SVP056,Black Star Promo,US/UK,Alternate artwork
