Source Row,Release Set,Release Date,Product,Product Type,Card Name,Card Number,Variant,Region,Notes
placeholders.csv:38,Scarlet & Violet,2023-03-31,Pokemon Center ETB,Pokemon Center Elite Trainer Box,Miraidon,SVP013,Pokemon Center Stamp,US/UK,
placeholders.csv:39,Scarlet & Violet,2023-03-31,Elite Trainer Box,Elite Trainer Box,Koraidon,SVP014,Black Star Promo,US/UK,
placeholders.csv:40,Scarlet & Violet,2023-03-31,Pokemon Center ETB,Pokemon Center Elite Trainer Box,Koraidon,SVP014,Pokemon Center Stamp,US/UK,
placeholders.csv:41,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Quaquaval,SVP005,Black Star Promo,US/UK,Contains two Build & Battle Boxes
placeholders.csv:42,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Pawmot,SVP006,Black Star Promo,US/UK,Contains two Build & Battle Boxes
placeholders.csv:43,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Hawlucha,SVP007,Black Star Promo,US/UK,Contains two Build & Battle Boxes
placeholders.csv:44,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Revavroom,SVP008,Black Star Promo,US/UK,Contains two Build & Battle Boxes
placeholders.csv:45,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Quaquaval,SVI054,Non Holo,US/UK,Deck-exclusive
placeholders.csv:46,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Dondozo,SVI061,Non Holo,US/UK,Deck-exclusive
placeholders.csv:47,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Pawmot,SVI076,Non Holo,US/UK,Deck-exclusive
placeholders.csv:48,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Revavroom,SVI142,Non Holo,US/UK,Deck-exclusive
placeholders.csv:49,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Professor's Research,SVI189,Non Holo,US/UK,Deck-exclusive (Professor Sada)
placeholders.csv:50,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Professor's Research,SVI190,Non Holo,US/UK,Deck-exclusive (Professor Turo)
placeholders.csv:51,Scarlet & Violet,2023-05-05,Ampharos ex Battle Deck,ex Battle Deck,Flaaffy,SVP015,Black Star Promo,US/UK,
placeholders.csv:52,Scarlet & Violet,2023-05-05,Ampharos ex Battle Deck,ex Battle Deck,Ampharos ex,SVP016,Black Star Promo,US/UK,
placeholders.csv:53,Scarlet & Violet,2023-05-05,Ampharos ex Battle Deck,ex Battle Deck,Miraidon,SVI080,Non Holo,US/UK,Deck-exclusive
placeholders.csv:54,Scarlet & Violet,2023-05-05,Lucario ex Battle Deck,ex Battle Deck,Lucario ex,SVP017,Black Star Promo,US/UK,
placeholders.csv:55,Scarlet & Violet,2023-05-05,Lucario ex Battle Deck,ex Battle Deck,Annihilape,SVI109,Non Holo,US/UK,Deck-exclusive
placeholders.csv:56,Scarlet & Violet,2023-05-05,Lucario ex Battle Deck,ex Battle Deck,Koraidon,SVI124,Non Holo,US/UK,Deck-exclusive
placeholders.csv:57,Scarlet & Violet,2023-05-05,Lucario ex Battle Deck,ex Battle Deck,Cyclizar,SVI164,Non Holo,US/UK,Deck-exclusive
placeholders.csv:58,Scarlet & Violet,2023-05-05,Cyclizar ex Box,Collection Box,Cyclizar ex,SVP018,Black Star Promo,US/UK,
placeholders.csv:59,Scarlet & Violet,2023-05-05,Cyclizar ex Box,Collection Box,Rotom,SVI070,Cosmos Holo,US/UK,Product-exclusive holo treatment
placeholders.csv:60,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Baxcalibur,SVP019,Black Star Promo,US/UK,One of four possible promo decks
placeholders.csv:61,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Tinkaton,SVP020,Black Star Promo,US/UK,One of four possible promo decks
placeholders.csv:62,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Murkrow,SVP021,Black Star Promo,US/UK,One of four possible promo decks
placeholders.csv:63,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Pelipper,SVP022,Black Star Promo,US/UK,One of four possible promo decks
placeholders.csv:64,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Baxcalibur,SVP019,Staff Stamp,US/UK,Prerelease staff variant
placeholders.csv:65,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Tinkaton,SVP020,Staff Stamp,US/UK,Prerelease staff variant
placeholders.csv:66,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Murkrow,SVP021,Staff Stamp,US/UK,Prerelease staff variant
placeholders.csv:67,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Pelipper,SVP022,Staff Stamp,US/UK,Prerelease staff variant
placeholders.csv:68,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Lokix,PAL021,Non Holo,US/UK,Deck-exclusive
placeholders.csv:69,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Baxcalibur,PAL060,Non Holo,US/UK,Deck-exclusive
placeholders.csv:70,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Tinkaton,PAL105,Non Holo,US/UK,Deck-exclusive
placeholders.csv:71,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Boss's Orders,PAL172,Non Holo,US/UK,Deck-exclusive
placeholders.csv:72,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Professor's Research,SVI189,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Sada
placeholders.csv:73,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Professor's Research,SVI190,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Turo
placeholders.csv:74,Paldea Evolved,2023-06-09,Single Pack Blister,Single Pack Blister,Smoliv,SVP023,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
placeholders.csv:75,Paldea Evolved,,Single Pack Blister (Reprint),Single Pack Blister,Smoliv,SVP023,Pixel Cosmos,US/UK,Mid-2024 reprint
placeholders.csv:76,Paldea Evolved,2023-06-09,Single Pack Blister,Single Pack Blister,Growlithe,SVP024,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
placeholders.csv:77,Paldea Evolved,,Single Pack Blister (Reprint),Single Pack Blister,Growlithe,SVP024,Pixel Cosmos,US/UK,Mid-2024 reprint
placeholders.csv:78,Paldea Evolved,2023-06-09,3-Pack Blister,Three Pack Blister,Tinkatink,SVP025,Smooth Cosmos,US/UK,
placeholders.csv:79,Paldea Evolved,2023-06-09,3-Pack Blister,Three Pack Blister,Varoom,SVP026,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
placeholders.csv:80,Paldea Evolved,,3-Pack Blister (Reprint),Three Pack Blister,Varoom,SVP026,Pixel Cosmos,US/UK,Mid-2024 reprint
placeholders.csv:81,Paldea Evolved,2023-06-09,Premium Checklane Blister,Premium Checklane Blister,Arboliva,SVI023,Vertical Line Holo,US/UK,Product-exclusive holo treatment
placeholders.csv:82,Paldea Evolved,2023-06-09,Premium Checklane Blister,Premium Checklane Blister,Pawmot,SVI076,Vertical Line Holo,US/UK,Product-exclusive holo treatment
placeholders.csv:83,Paldea Evolved,2023-06-09,Stage 1 Blister,Stage 1 Blister,Armarouge,SVI041,Vertical Line Holo,US/UK,Product-exclusive holo treatment
placeholders.csv:84,Paldea Evolved,2023-06-09,Stage 1 Blister,Stage 1 Blister,Dondozo,SVI061,Vertical Line Holo,US/UK,Product-exclusive holo treatment
placeholders.csv:85,Paldea Evolved,2023-06-09,Premium Checklane Blister,Premium Checklane Blister,Dolliv,SVI022,Non Holo,US/UK,Included with Arboliva blister
placeholders.csv:86,Paldea Evolved,2023-06-09,Premium Checklane Blister,Premium Checklane Blister,Pawmi,SVI073,Non Holo,US/UK,Included with Pawmot blister
placeholders.csv:87,Paldea Evolved,2023-06-09,Premium Checklane Blister,Premium Checklane Blister,Pawmo,SVI075,Non Holo,US/UK,Included with Pawmot blister
placeholders.csv:88,Paldea Evolved,2023-06-09,Stage 1 Blister,Stage 1 Blister,Smoliv,SVI020,Non Holo,US/UK,Included with Arboliva blister
placeholders.csv:89,Paldea Evolved,2023-06-09,Stage 1 Blister,Stage 1 Blister,Charcadet,SVI039,Non Holo,US/UK,Included with Armarouge blister
placeholders.csv:90,Paldea Evolved,2023-06-09,Stage 1 Blister,Stage 1 Blister,Tatsugiri,SVI062,Non Holo,US/UK,Included with Dondozo blister
placeholders.csv:91,Paldea Evolved,2023-06-09,Elite Trainer Box,Elite Trainer Box,Pikachu,SVP027,Black Star Promo,US/UK,
placeholders.csv:92,Paldea Evolved,2023-06-09,Pokemon Center ETB,Pokemon Center Elite Trainer Box,Pikachu,SVP027,Pokemon Center Stamp,US/UK,
placeholders.csv:93,Paldea Evolved,2023-06-09,Paldea Legends Tin,Tin,Miraidon ex,SVP028,Black Star Promo,US/UK,Available in hexagonal and octagonal tin designs
placeholders.csv:94,Paldea Evolved,2023-06-09,Paldea Legends Tin,Tin,Koraidon ex,SVP029,Black Star Promo,US/UK,Available in hexagonal and octagonal tin designs
placeholders.csv:95,Paldea Evolved,2023-06-09,Trainer's Toolkit 2023,Trainer's Toolkit,Professor's Research,SVI189,Non Holo,US/UK,Two copies included; rereleased promotional card
placeholders.csv:96,Paldea Evolved,2023-06-09,Trainer's Toolkit 2023,Trainer's Toolkit,Professor's Research,SVI190,Non Holo,US/UK,Two copies included; rereleased promotional card
placeholders.csv:97,Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Baxcalibur,SVP019,Black Star Promo,US/UK,Contains two Build & Battle Boxes
placeholders.csv:98,Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Tinkaton,SVP020,Black Star Promo,US/UK,Contains two Build & Battle Boxes
placeholders.csv:99,Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Murkrow,SVP021,Black Star Promo,US/UK,Contains two Build & Battle Boxes
placeholders.csv:100,Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Pelipper,SVP022,Black Star Promo,US/UK,Contains two Build & Battle Boxes
placeholders.csv:101,Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Lokix,PAL021,Non Holo,US/UK,Deck-exclusive; contains two Build & Battle Boxes
placeholders.csv:102,Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Baxcalibur,PAL060,Non Holo,US/UK,Deck-exclusive; contains two Build & Battle Boxes
placeholders.csv:103,Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Tinkaton,PAL105,Non Holo,US/UK,Deck-exclusive; contains two Build & Battle Boxes
placeholders.csv:104,Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Boss's Orders,PAL172,Non Holo,US/UK,Deck-exclusive; contains two Build & Battle Boxes
placeholders.csv:105,Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Professor's Research,SVI189,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Sada
placeholders.csv:106,Paldea Evolved,2023-06-23,Build & Battle Stadium,Build & Battle Stadium,Professor's Research,SVI190,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Turo
placeholders.csv:107,Paldea Evolved,2023-07-14,Chien-Pao ex Battle Deck,ex Battle Deck,Chien-Pao ex,SVP030,Black Star Promo,US/UK,Alternate artwork
placeholders.csv:108,Paldea Evolved,2023-07-14,Chien-Pao ex Battle Deck,ex Battle Deck,Baxcalibur,PAL060,Non Holo,US/UK,Rereleased promotional card
placeholders.csv:109,Paldea Evolved,2023-07-14,Tinkaton ex Battle Deck,ex Battle Deck,Tinkaton ex,SVP031,Black Star Promo,US/UK,Cut from Paldea Evolved during localization
placeholders.csv:110,Paldea Evolved,2023-07-14,Annihilape ex Box,Collection Box,Annihilape ex,SVP032,Black Star Promo,US/UK,Cut from Paldea Evolved during localization
placeholders.csv:111,Paldea Evolved,2023-07-14,Annihilape ex Box,Collection Box,Mankey,PAL106,Pixel Cosmos,US/UK,Product-exclusive holo treatment
placeholders.csv:112,Paldea Evolved,2023-07-14,Annihilape ex Box,Collection Box,Primeape,PAL107,Pixel Cosmos,US/UK,Product-exclusive holo treatment
placeholders.csv:113,Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Palafin,SVP036,Black Star Promo,US/UK,One of four possible promo decks
placeholders.csv:114,Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Cleffa,SVP037,Black Star Promo,US/UK,One of four possible promo decks
placeholders.csv:115,Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Togekiss,SVP038,Black Star Promo,US/UK,One of four possible promo decks
placeholders.csv:116,Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Mawile,SVP039,Black Star Promo,US/UK,One of four possible promo decks
placeholders.csv:117,Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Palafin,SVP036,Staff Stamp,US/UK,Prerelease staff variant
placeholders.csv:118,Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Cleffa,SVP037,Staff Stamp,US/UK,Prerelease staff variant
placeholders.csv:119,Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Togekiss,SVP038,Staff Stamp,US/UK,Prerelease staff variant
placeholders.csv:120,Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Mawile,SVP039,Staff Stamp,US/UK,Prerelease staff variant
placeholders.csv:121,Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Palafin,OBF062,Non Holo,US/UK,Deck-exclusive
placeholders.csv:122,Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Toxtricity,OBF072,Non Holo,US/UK,Deck-exclusive
placeholders.csv:123,Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Togekiss,OBF085,Non Holo,US/UK,Deck-exclusive
placeholders.csv:124,Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Professor's Research,SVI189,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Sada
placeholders.csv:125,Obsidian Flames,2023-07-28,Build & Battle Box,Build & Battle Box,Professor's Research,SVI190,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Turo
placeholders.csv:126,Obsidian Flames,2023-08-04,Summer 2023 Collector Chest,Collector Chest,Sprigatito,PAL013,Mirage Holo,US/UK,Product-exclusive holo treatment
placeholders.csv:127,Obsidian Flames,2023-08-04,Summer 2023 Collector Chest,Collector Chest,Fuecoco,PAL034,Mirage Holo,US/UK,Product-exclusive holo treatment
placeholders.csv:128,Obsidian Flames,2023-08-04,Summer 2023 Collector Chest,Collector Chest,Quaxly,PAL050,Mirage Holo,US/UK,Product-exclusive holo treatment
placeholders.csv:129,Obsidian Flames,2023-08-04,Enhanced 2-Pack Blister,2-Pack Blister,Armarouge,SVI041,Mirage Holo,US/UK,Armarouge Revavroom and Houndstone blister
placeholders.csv:130,Obsidian Flames,2023-08-04,Enhanced 2-Pack Blister,2-Pack Blister,Houndstone,SVI106,Mirage Holo,US/UK,Armarouge Revavroom and Houndstone blister
placeholders.csv:131,Obsidian Flames,2023-08-04,Enhanced 2-Pack Blister,2-Pack Blister,Revavroom,SVI142,Mirage Holo,US/UK,Armarouge Revavroom and Houndstone blister
placeholders.csv:132,Obsidian Flames,2023-08-11,Single Pack Blister,Single Pack Blister,Pawmi,SVP040,Smooth Cosmos,US/UK,
placeholders.csv:133,Obsidian Flames,2023-08-11,Single Pack Blister,Single Pack Blister,Paldean Wooper,SVP041,Smooth Cosmos,US/UK,
placeholders.csv:134,Obsidian Flames,2023-08-11,3-Pack Blister,Three Pack Blister,Houndstone,SVP042,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
placeholders.csv:135,Obsidian Flames,,3-Pack Blister (Reprint),Three Pack Blister,Houndstone,SVP042,Pixel Cosmos,US/UK,Mid-2024 reprint
placeholders.csv:136,Obsidian Flames,2023-08-11,3-Pack Blister,Three Pack Blister,Eevee,SVP043,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
placeholders.csv:137,Obsidian Flames,,3-Pack Blister (Reprint),Three Pack Blister,Eevee,SVP043,Pixel Cosmos,US/UK,Mid-2024 reprint
placeholders.csv:138,Obsidian Flames,2023-08-11,Premium Checklane Blister,Premium Checklane Blister,Mankey,SVI107,Non Holo,US/UK,Included with Annihilape blister
placeholders.csv:139,Obsidian Flames,2023-08-11,Premium Checklane Blister,Premium Checklane Blister,Primeape,SVI108,Non Holo,US/UK,Included with Annihilape blister
placeholders.csv:140,Obsidian Flames,2023-08-11,Premium Checklane Blister,Premium Checklane Blister,Annihilape,SVI109,Non Holo,US/UK,Included with Annihilape blister
placeholders.csv:141,Obsidian Flames,2023-08-11,Premium Checklane Blister,Premium Checklane Blister,Pawniard,SVI132,Non Holo,US/UK,Included with Kingambit blister
placeholders.csv:142,Obsidian Flames,2023-08-11,Premium Checklane Blister,Premium Checklane Blister,Bisharp,SVI133,Non Holo,US/UK,Included with Kingambit blister
placeholders.csv:143,Obsidian Flames,2023-08-11,Premium Checklane Blister,Premium Checklane Blister,Kingambit,SVI134,Non Holo,US/UK,Included with Kingambit blister
placeholders.csv:144,Obsidian Flames,2023-08-11,Stage 1 Blister,Stage 1 Blister,Greavard,SVI104,Non Holo,US/UK,Included with Houndstone blister
placeholders.csv:145,Obsidian Flames,2023-08-11,Stage 1 Blister,Stage 1 Blister,Houndstone,SVI106,Non Holo,US/UK,Included with Houndstone blister
placeholders.csv:146,Obsidian Flames,2023-08-11,Stage 1 Blister,Stage 1 Blister,Varoom,SVI141,Non Holo,US/UK,Included with Revavroom blister
placeholders.csv:147,Obsidian Flames,2023-08-11,Stage 1 Blister,Stage 1 Blister,Revavroom,SVI142,Non Holo,US/UK,Included with Revavroom blister
placeholders.csv:148,Obsidian Flames,2023-08-11,Elite Trainer Box,Elite Trainer Box,Charmander,SVP044,Black Star Promo,US/UK,
placeholders.csv:149,Obsidian Flames,2023-08-11,Pokemon Center ETB,Pokemon Center Elite Trainer Box,Charmander,SVP044,Pokemon Center Stamp,US/UK,
placeholders.csv:150,Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Palafin,SVP036,Black Star Promo,US/UK,Contains two Build & Battle Boxes
placeholders.csv:151,Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Cleffa,SVP037,Black Star Promo,US/UK,Contains two Build & Battle Boxes
placeholders.csv:152,Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Togekiss,SVP038,Black Star Promo,US/UK,Contains two Build & Battle Boxes
placeholders.csv:153,Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Mawile,SVP039,Black Star Promo,US/UK,Contains two Build & Battle Boxes
placeholders.csv:154,Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Palafin,OBF062,Non Holo,US/UK,Deck-exclusive; contains two Build & Battle Boxes
placeholders.csv:155,Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Toxtricity,OBF072,Non Holo,US/UK,Deck-exclusive; contains two Build & Battle Boxes
placeholders.csv:156,Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Togekiss,OBF085,Non Holo,US/UK,Deck-exclusive; contains two Build & Battle Boxes
placeholders.csv:157,Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Professor's Research,SVI189,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Sada
placeholders.csv:158,Obsidian Flames,2023-08-25,Build & Battle Stadium,Build & Battle Stadium,Professor's Research,SVI190,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Turo
placeholders.csv:159,Obsidian Flames,2023-09-01,Paldea Partners Tin,Tin,Meowscarada ex,SVP033,Black Star Promo,US/UK,Available in hexagonal and octagonal tin designs
placeholders.csv:160,Obsidian Flames,2023-09-01,Paldea Partners Tin,Tin,Skeledirge ex,SVP034,Black Star Promo,US/UK,Available in hexagonal and octagonal tin designs
placeholders.csv:161,Obsidian Flames,2023-09-01,Paldea Partners Tin,Tin,Quaquaval ex,SVP035,Black Star Promo,US/UK,Available in hexagonal and octagonal tin designs
placeholders.csv:162,Obsidian Flames,2023-09-01,Meowscarada ex Deluxe Battle Deck,Deluxe Battle Deck,Indeedee,SVI153,Non Holo,US/UK,Exclusive promotional card
placeholders.csv:163,Obsidian Flames,2023-09-01,Meowscarada ex Deluxe Battle Deck,Deluxe Battle Deck,Professor's Research,SVI189,Non Holo,US/UK,Rereleased promotional card
placeholders.csv:164,Obsidian Flames,2023-09-01,Quaquaval ex Deluxe Battle Deck,Deluxe Battle Deck,Baxcalibur,PAL060,Non Holo,US/UK,Rereleased promotional card
placeholders.csv:165,Obsidian Flames,2023-09-01,Quaquaval ex Deluxe Battle Deck,Deluxe Battle Deck,Boss's Orders,PAL172,Non Holo,US/UK,Rereleased promotional card
placeholders.csv:166,Obsidian Flames,2023-09-08,Paradox Powers ex Special Collection,Special Collection,Miraidon ex,SVI081,Holo,US/UK,Amazon exclusive
placeholders.csv:167,Obsidian Flames,2023-09-08,Paradox Powers ex Special Collection,Special Collection,Koraidon ex,SVI125,Holo,US/UK,Amazon exclusive
placeholders.csv:168,151,2023-09-22,Elite Trainer Box,Elite Trainer Box,Snorlax,SVP051,Black Star Promo,US/UK,
placeholders.csv:169,151,2023-09-22,Pokemon Center ETB,Pokemon Center Elite Trainer Box,Snorlax,SVP051,Pokemon Center Stamp,US/UK,
