Category,Card Name,Card Number,Variant,Region,Purchase Options,Source Rows
Stamped Cards,Venusaur ex,SCR001,Expansion Logo Stamp,US/UK,Black Bolt & White Flare - Venusaur ex & Blastoise ex Premium Collection,placeholders.csv:705
Stamped Cards,Blastoise ex,SCR030,Expansion Logo Stamp,US/UK,Black Bolt & White Flare - Venusaur ex & Blastoise ex Premium Collection,placeholders.csv:706
Stamped Cards,Archaludon,SCR107,EB Games Stamp,Australia/New Zealand,Stellar Crown - Retailer Gift With Purchase,placeholders.csv:769
Stamped Cards,Archaludon,SCR107,GameStop Stamp,US/Canada,Stellar Crown - Retailer Gift With Purchase,placeholders.csv:768
Stamped Cards,Crabominable,SCR149,Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:711
Stamped Cards,Cryogonal,SSP047,Cosmos Holo Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:712
Stamped Cards,Latias ex,SSP076,Surging Sparks Stamp,US/UK,Black Bolt & White Flare - Lugia ex & Latias ex Premium Collection,placeholders.csv:723
Stamped Cards,Terapagos,SSP161,Best Buy Stamp,US/Australia/Canada,Surging Sparks - Retailer Gift With Purchase,placeholders.csv:773
Stamped Cards,Terapagos,SSP161,GameStop Stamp,US/Canada/Australia,Surging Sparks - Retailer Gift With Purchase,placeholders.csv:771
Stamped Cards,Lechonk,SVI154,Best Buy Stamp,US,Scarlet & Violet - Retailer Gift With Purchase,placeholders.csv:754
Stamped Cards,Lechonk,SVI154,GameStop Stamp,US/Canada,Scarlet & Violet - Retailer Gift With Purchase,placeholders.csv:753
Stamped Cards,Quaquaval,SVP005,Black Star Promo,US/UK,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium,placeholders.csv:16 | placeholders.csv:41
Stamped Cards,Pawmot,SVP006,Black Star Promo,US/UK,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium,placeholders.csv:17 | placeholders.csv:42
Stamped Cards,Hawlucha,SVP007,Black Star Promo,US/UK,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium,placeholders.csv:18 | placeholders.csv:43
Stamped Cards,Revavroom,SVP008,Black Star Promo,US/UK,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium,placeholders.csv:19 | placeholders.csv:44
Stamped Cards,Baxcalibur,SVP019,Black Star Promo,US/UK,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium,placeholders.csv:60 | placeholders.csv:97
Stamped Cards,Tinkaton,SVP020,Black Star Promo,US/UK,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium,placeholders.csv:61 | placeholders.csv:98
Stamped Cards,Murkrow,SVP021,Black Star Promo,US/UK,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium,placeholders.csv:62 | placeholders.csv:99
Stamped Cards,Pelipper,SVP022,Black Star Promo,US/UK,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium,placeholders.csv:63 | placeholders.csv:100
Stamped Cards,Palafin,SVP036,Black Star Promo,US/UK,Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium,placeholders.csv:113 | placeholders.csv:150
Stamped Cards,Cleffa,SVP037,Black Star Promo,US/UK,Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium,placeholders.csv:114 | placeholders.csv:151
Stamped Cards,Togekiss,SVP038,Black Star Promo,US/UK,Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium,placeholders.csv:115 | placeholders.csv:152
Stamped Cards,Mawile,SVP039,Black Star Promo,US/UK,Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium,placeholders.csv:116 | placeholders.csv:153
Stamped Cards,Chi-Yu,SVP057,Black Star Promo,US/UK,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,placeholders.csv:200 | placeholders.csv:241
Stamped Cards,Iron Bundle,SVP058,Black Star Promo,US/UK,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,placeholders.csv:201 | placeholders.csv:242
Stamped Cards,Xatu,SVP059,Black Star Promo,US/UK,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,placeholders.csv:202 | placeholders.csv:243
Stamped Cards,Aegislash,SVP060,Black Star Promo,US/UK,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,placeholders.csv:203 | placeholders.csv:244
Stamped Cards,Feraligatr,SVP089,Black Star Promo,US/UK,Temporal Forces - Build & Battle Box,placeholders.csv:301
Stamped Cards,Metang,SVP090,Black Star Promo,US/UK,Temporal Forces - Build & Battle Box,placeholders.csv:302
Stamped Cards,Koraidon,SVP091,Black Star Promo,US/UK,Temporal Forces - Build & Battle Box,placeholders.csv:303
Stamped Cards,Miraidon,SVP092,Black Star Promo,US/UK,Temporal Forces - Build & Battle Box,placeholders.csv:304
Stamped Cards,Thwackey,SVP115,Black Star Promo,US/UK,Twilight Masquerade - Build & Battle Box,placeholders.csv:366
Stamped Cards,Infernape,SVP116,Black Star Promo,US/UK,Twilight Masquerade - Build & Battle Box,placeholders.csv:367
Stamped Cards,Froslass,SVP117,Black Star Promo,US/UK,Twilight Masquerade - Build & Battle Box,placeholders.csv:368
Stamped Cards,Tatsugiri,SVP118,Black Star Promo,US/UK,Twilight Masquerade - Build & Battle Box,placeholders.csv:369
Stamped Cards,Ledian,SVP133,Black Star Promo,US/UK,Stellar Crown - Build & Battle Box,placeholders.csv:462
Stamped Cards,Crabominable,SVP134,Black Star Promo,US/UK,Stellar Crown - Build & Battle Box,placeholders.csv:463
Stamped Cards,Drifblim,SVP135,Black Star Promo,US/UK,Stellar Crown - Build & Battle Box,placeholders.csv:464
Stamped Cards,Bouffalant,SVP136,Black Star Promo,US/UK,Stellar Crown - Build & Battle Box,placeholders.csv:465
Stamped Cards,Gouging Fire,SVP151,Black Star Promo,US/UK,Surging Sparks - Build & Battle Box,placeholders.csv:521
Stamped Cards,Chien-Pao,SVP152,Black Star Promo,US/UK,Surging Sparks - Build & Battle Box,placeholders.csv:522
Stamped Cards,Magneton,SVP153,Black Star Promo,US/UK,Surging Sparks - Build & Battle Box,placeholders.csv:523
Stamped Cards,Indeedee,SVP154,Black Star Promo,US/UK,Surging Sparks - Build & Battle Box,placeholders.csv:524
Stamped Cards,N's Darmanitan,SVP181,Black Star Promo,US/UK,Journey Together - Build & Battle Box,placeholders.csv:614
Stamped Cards,Iono's Kilowattrel,SVP182,Black Star Promo,US/UK,Journey Together - Build & Battle Box,placeholders.csv:615
Stamped Cards,Lillie's Ribombee,SVP183,Black Star Promo,US/UK,Journey Together - Build & Battle Box,placeholders.csv:616
Stamped Cards,Hop's Snorlax,SVP184,Black Star Promo,US/UK,Journey Together - Build & Battle Box,placeholders.csv:617
Stamped Cards,Sprigatito,SVP191,GameStop Stamp,US/Canada/Australia,Surging Sparks - Retailer Gift With Purchase,placeholders.csv:772
Stamped Cards,Fuecoco,SVP192,Best Buy Stamp,US/Australia/Canada,Surging Sparks - Retailer Gift With Purchase,placeholders.csv:774
Stamped Cards,Pikachu,TEF051,2026 Pokemon Day Stamp,US/UK,Mega Evolution - Pokemon Day 2026 Collection,placeholders.csv:751 | mega_placeholders.csv:65
Stamped Cards,Koraidon,TEF119,GameStop Stamp,US,Temporal Forces - Retailer Gift With Purchase,placeholders.csv:763
Stamped Cards,Miraidon,TEF121,Best Buy Stamp,US,Temporal Forces - Retailer Gift With Purchase,placeholders.csv:764
Stamped Cards,Raging Bolt,TEF123,Best Buy Stamp,US,Stellar Crown - Retailer Gift With Purchase,placeholders.csv:770
Stamped Cards,Sinistcha,TWM022,Best Buy Stamp,US,Twilight Masquerade - Retailer Gift With Purchase,placeholders.csv:765
Stamped Cards,Teal Mask Ogerpon,TWM024,EB Games Stamp,Australia/New Zealand,Twilight Masquerade - Retailer Gift With Purchase,placeholders.csv:767
Stamped Cards,Teal Mask Ogerpon,TWM024,GameStop Stamp,Canada,Twilight Masquerade - Retailer Gift With Purchase,placeholders.csv:766
Stamped Cards,Hearthflame Mask Ogerpon ex,TWM040,Expansion Logo Stamp,US/UK,Destined Rivals - Masks of Ogerpon Premium Collection,placeholders.csv:692
Stamped Cards,Iron Bundle,TWM062,Cosmos Holo Snowflake Stamp,US/UK,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:449
Stamped Cards,Wellspring Mask Ogerpon ex,TWM064,Expansion Logo Stamp,US/UK,Destined Rivals - Masks of Ogerpon Premium Collection,placeholders.csv:693
Stamped Cards,Reshiram ex,WHT020,White Flare Stamp,US/UK,Black Bolt & White Flare - Unova Heavy Hitters Premium Collection,placeholders.csv:732
Stamped Cards,Archeops,WHT051,Excavator Pikachu Stamp,US/UK,Black Bolt & White Flare - Pokemon Fossil Museum merchandise,placeholders.csv:752 | mega_placeholders.csv:132
Stamped Cards,Zoroark,WHT062,White Flare Stamp,US/UK,Black Bolt & White Flare - Unova Heavy Hitters Premium Collection,placeholders.csv:733
Stamped Cards,Delphox,,Chaos Rising Stamp,US/Australia/New Zealand,Chaos Rising - Retailer Gift With Purchase,mega_placeholders.csv:194
Stamped Cards,Genesect,,Phantasmal Flames Stamp,US/Australia/New Zealand,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:186
Stamped Cards,Ho-Oh,,EB Games Stamp,Canada/Australia,Chaos Rising - Retailer Gift With Purchase,mega_placeholders.csv:192
Stamped Cards,Ho-Oh,,GameStop Stamp,US,Chaos Rising - Retailer Gift With Purchase,mega_placeholders.csv:191
Stamped Cards,Keldeo,,Chaos Rising Stamp,US,Chaos Rising - Retailer Gift With Purchase,mega_placeholders.csv:193
Stamped Cards,Yveltal,,EB Games Stamp,Canada/Australia/New Zealand,Mega Evolution - Retailer Gift With Purchase,mega_placeholders.csv:182
Stamped Cards,Yveltal,,GameStop Stamp,US,Mega Evolution - Retailer Gift With Purchase,mega_placeholders.csv:181
Staff Cards,Ethan's Typhlosion,DRI034,Staff Stamp,US/UK,Destined Rivals - Build & Battle Box,placeholders.csv:663
Staff Cards,Misty's Gyarados,DRI049,Staff Stamp,US/UK,Destined Rivals - Build & Battle Box,placeholders.csv:664
Staff Cards,Team Rocket's Mimikyu,DRI087,Staff Stamp,US/UK,Destined Rivals - Build & Battle Box,placeholders.csv:665
Staff Cards,Team Rocket's Tyranitar,DRI096,Staff Stamp,US/UK,Destined Rivals - Build & Battle Box,placeholders.csv:666
Staff Cards,Quaquaval,SVP005,Staff Stamp,US/UK,Scarlet & Violet - Build & Battle Box,placeholders.csv:20
Staff Cards,Pawmot,SVP006,Staff Stamp,US/UK,Scarlet & Violet - Build & Battle Box,placeholders.csv:21
Staff Cards,Hawlucha,SVP007,Staff Stamp,US/UK,Scarlet & Violet - Build & Battle Box,placeholders.csv:22
Staff Cards,Revavroom,SVP008,Staff Stamp,US/UK,Scarlet & Violet - Build & Battle Box,placeholders.csv:23
Staff Cards,Baxcalibur,SVP019,Staff Stamp,US/UK,Paldea Evolved - Build & Battle Box,placeholders.csv:64
Staff Cards,Tinkaton,SVP020,Staff Stamp,US/UK,Paldea Evolved - Build & Battle Box,placeholders.csv:65
Staff Cards,Murkrow,SVP021,Staff Stamp,US/UK,Paldea Evolved - Build & Battle Box,placeholders.csv:66
Staff Cards,Pelipper,SVP022,Staff Stamp,US/UK,Paldea Evolved - Build & Battle Box,placeholders.csv:67
Staff Cards,Palafin,SVP036,Staff Stamp,US/UK,Obsidian Flames - Build & Battle Box,placeholders.csv:117
Staff Cards,Cleffa,SVP037,Staff Stamp,US/UK,Obsidian Flames - Build & Battle Box,placeholders.csv:118
Staff Cards,Togekiss,SVP038,Staff Stamp,US/UK,Obsidian Flames - Build & Battle Box,placeholders.csv:119
Staff Cards,Mawile,SVP039,Staff Stamp,US/UK,Obsidian Flames - Build & Battle Box,placeholders.csv:120
Staff Cards,Chi-Yu,SVP057,Staff Stamp,US/UK,Paradox Rift - Build & Battle Box,placeholders.csv:204
Staff Cards,Iron Bundle,SVP058,Staff Stamp,US/UK,Paradox Rift - Build & Battle Box,placeholders.csv:205
Staff Cards,Xatu,SVP059,Staff Stamp,US/UK,Paradox Rift - Build & Battle Box,placeholders.csv:206
Staff Cards,Aegislash,SVP060,Staff Stamp,US/UK,Paradox Rift - Build & Battle Box,placeholders.csv:207
Staff Cards,Feraligatr,SVP089,Staff Stamp,US/UK,Temporal Forces - Build & Battle Box,placeholders.csv:305
Staff Cards,Metang,SVP090,Staff Stamp,US/UK,Temporal Forces - Build & Battle Box,placeholders.csv:306
Staff Cards,Koraidon,SVP091,Staff Stamp,US/UK,Temporal Forces - Build & Battle Box,placeholders.csv:307
Staff Cards,Miraidon,SVP092,Staff Stamp,US/UK,Temporal Forces - Build & Battle Box,placeholders.csv:308
Staff Cards,Thwackey,SVP115,Staff Stamp,US/UK,Twilight Masquerade - Build & Battle Box,placeholders.csv:370
Staff Cards,Infernape,SVP116,Staff Stamp,US/UK,Twilight Masquerade - Build & Battle Box,placeholders.csv:371
Staff Cards,Froslass,SVP117,Staff Stamp,US/UK,Twilight Masquerade - Build & Battle Box,placeholders.csv:372
Staff Cards,Tatsugiri,SVP118,Staff Stamp,US/UK,Twilight Masquerade - Build & Battle Box,placeholders.csv:373
Staff Cards,Ledian,SVP133,Staff Stamp,US/UK,Stellar Crown - Build & Battle Box,placeholders.csv:466
Staff Cards,Crabominable,SVP134,Staff Stamp,US/UK,Stellar Crown - Build & Battle Box,placeholders.csv:467
Staff Cards,Drifblim,SVP135,Staff Stamp,US/UK,Stellar Crown - Build & Battle Box,placeholders.csv:468
Staff Cards,Bouffalant,SVP136,Staff Stamp,US/UK,Stellar Crown - Build & Battle Box,placeholders.csv:469
Staff Cards,Gouging Fire,SVP151,Staff Stamp,US/UK,Surging Sparks - Build & Battle Box,placeholders.csv:525
Staff Cards,Chien-Pao,SVP152,Staff Stamp,US/UK,Surging Sparks - Build & Battle Box,placeholders.csv:526
Staff Cards,Magneton,SVP153,Staff Stamp,US/UK,Surging Sparks - Build & Battle Box,placeholders.csv:527
Staff Cards,Indeedee,SVP154,Staff Stamp,US/UK,Surging Sparks - Build & Battle Box,placeholders.csv:528
Staff Cards,N's Darmanitan,SVP181,Staff Stamp,US/UK,Journey Together - Build & Battle Box,placeholders.csv:618
Staff Cards,Iono's Kilowattrel,SVP182,Staff Stamp,US/UK,Journey Together - Build & Battle Box,placeholders.csv:619
Staff Cards,Lillie's Ribombee,SVP183,Staff Stamp,US/UK,Journey Together - Build & Battle Box,placeholders.csv:620
Staff Cards,Hop's Snorlax,SVP184,Staff Stamp,US/UK,Journey Together - Build & Battle Box,placeholders.csv:621
Promo Cards,Sprigatito,SVP001,Black Star Promo,US/UK,Scarlet & Violet - Sprigatito Collection,placeholders.csv:2
Promo Cards,Fuecoco,SVP002,Black Star Promo,US/UK,Scarlet & Violet - Fuecoco Collection,placeholders.csv:6
Promo Cards,Quaxly,SVP003,Black Star Promo,US/UK,Scarlet & Violet - Quaxly Collection,placeholders.csv:10
Promo Cards,Mimikyu ex,SVP004,Black Star Promo,US/UK,Scarlet & Violet - Mimikyu ex Box,placeholders.csv:14
Promo Cards,Spidops,SVP009,Pixel Cosmos,US/UK,Scarlet & Violet - Single Pack Blister (Reprint),placeholders.csv:31
Promo Cards,Spidops,SVP009,Smooth Cosmos,US/UK,Scarlet & Violet - Single Pack Blister,placeholders.csv:30
Promo Cards,Espathra,SVP010,Smooth Cosmos,US/UK,Scarlet & Violet - Single Pack Blister,placeholders.csv:32
Promo Cards,Arcanine,SVP011,Pixel Cosmos,US/UK,Scarlet & Violet - 3-Pack Blister (Reprint),placeholders.csv:34
Promo Cards,Arcanine,SVP011,Smooth Cosmos,US/UK,Scarlet & Violet - 3-Pack Blister,placeholders.csv:33
Promo Cards,Dondozo,SVP012,Pixel Cosmos,US/UK,Scarlet & Violet - 3-Pack Blister (Reprint),placeholders.csv:36
Promo Cards,Dondozo,SVP012,Smooth Cosmos,US/UK,Scarlet & Violet - 3-Pack Blister,placeholders.csv:35
Promo Cards,Miraidon,SVP013,Black Star Promo,US/UK,Scarlet & Violet - Elite Trainer Box,placeholders.csv:37
Promo Cards,Miraidon,SVP013,Pokemon Center Stamp,US/UK,Scarlet & Violet - Pokemon Center ETB,placeholders.csv:38
Promo Cards,Koraidon,SVP014,Black Star Promo,US/UK,Scarlet & Violet - Elite Trainer Box,placeholders.csv:39
Promo Cards,Koraidon,SVP014,Pokemon Center Stamp,US/UK,Scarlet & Violet - Pokemon Center ETB,placeholders.csv:40
Promo Cards,Flaaffy,SVP015,Black Star Promo,US/UK,Scarlet & Violet - Ampharos ex Battle Deck,placeholders.csv:51
Promo Cards,Ampharos ex,SVP016,Black Star Promo,US/UK,Scarlet & Violet - Ampharos ex Battle Deck,placeholders.csv:52
