41,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Revavroom,SVP008,Black Star Promo,US/UK,Contains two Build & Battle Boxes
42,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Quaquaval,SVI054,Non Holo,US/UK,Deck-exclusive
43,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Dondozo,SVI061,Non Holo,US/UK,Deck-exclusive
44,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Pawmot,SVI076,Non Holo,US/UK,Deck-exclusive
45,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Revavroom,SVI142,Non Holo,US/UK,Deck-exclusive
46,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Professor's Research,SVI189,Non Holo,US/UK,Deck-exclusive (Professor Sada)
47,Scarlet & Violet,2023-04-14,Build & Battle Stadium,Build & Battle Stadium,Professor's Research,SVI190,Non Holo,US/UK,Deck-exclusive (Professor Turo)
48,Scarlet & Violet,2023-05-05,Ampharos ex Battle Deck,ex Battle Deck,Flaaffy,SVP015,Black Star Promo,US/UK,
49,Scarlet & Violet,2023-05-05,Ampharos ex Battle Deck,ex Battle Deck,Ampharos ex,SVP016,Black Star Promo,US/UK,
50,Scarlet & Violet,2023-05-05,Ampharos ex Battle Deck,ex Battle Deck,Miraidon,SVI080,Non Holo,US/UK,Deck-exclusive
51,Scarlet & Violet,2023-05-05,Lucario ex Battle Deck,ex Battle Deck,Lucario ex,SVP017,Black Star Promo,US/UK,
52,Scarlet & Violet,2023-05-05,Lucario ex Battle Deck,ex Battle Deck,Annihilape,SVI109,Non Holo,US/UK,Deck-exclusive
53,Scarlet & Violet,2023-05-05,Lucario ex Battle Deck,ex Battle Deck,Koraidon,SVI124,Non Holo,US/UK,Deck-exclusive
54,Scarlet & Violet,2023-05-05,Lucario ex Battle Deck,ex Battle Deck,Cyclizar,SVI164,Non Holo,US/UK,Deck-exclusive
55,Scarlet & Violet,2023-05-05,Cyclizar ex Box,Collection Box,Cyclizar ex,SVP018,Black Star Promo,US/UK,
56,Scarlet & Violet,2023-05-05,Cyclizar ex Box,Collection Box,Rotom,SVI070,Cosmos Holo,US/UK,Product-exclusive holo treatment
58,Release Set,Release Date,Product,Product Type,Card Name,Card Number,Variant,Region,Notes
59,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Baxcalibur,SVP019,Black Star Promo,US/UK,One of four possible promo decks
60,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Tinkaton,SVP020,Black Star Promo,US/UK,One of four possible promo decks
61,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Murkrow,SVP021,Black Star Promo,US/UK,One of four possible promo decks
62,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Pelipper,SVP022,Black Star Promo,US/UK,One of four possible promo decks
63,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Lokix,PAL021,Non Holo,US/UK,Deck-exclusive
64,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Baxcalibur,PAL060,Non Holo,US/UK,Deck-exclusive
65,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Tinkaton,PAL105,Non Holo,US/UK,Deck-exclusive
66,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Boss's Orders,PAL172,Non Holo,US/UK,Deck-exclusive
67,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Professor's Research,SVI189,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Sada
68,Paldea Evolved,2023-05-26,Build & Battle Box,Build & Battle Box,Professor's Research,SVI190,Non Holo,US/UK,Rereleased from Scarlet & Violet; Professor Turo
69,Paldea Evolved,2023-06-09,Single Pack Blister,Single Pack Blister,Smoliv,SVP023,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
70,Paldea Evolved,,Single Pack Blister (Reprint),Single Pack Blister,Smoliv,SVP023,Pixel Cosmos,US/UK,Mid-2024 reprint
71,Paldea Evolved,2023-06-09,Single Pack Blister,Single Pack Blister,Growlithe,SVP024,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
72,Paldea Evolved,,Single Pack Blister (Reprint),Single Pack Blister,Growlithe,SVP024,Pixel Cosmos,US/UK,Mid-2024 reprint
73,Paldea Evolved,2023-06-09,3-Pack Blister,Three Pack Blister,Tinkatink,SVP025,Smooth Cosmos,US/UK,
74,Paldea Evolved,2023-06-09,3-Pack Blister,Three Pack Blister,Varoom,SVP026,Smooth Cosmos,US/UK,Initial release; later reprinted with Pixel Cosmos
75,Paldea Evolved,,3-Pack Blister (Reprint),Three Pack Blister,Varoom,SVP026,Pixel Cosmos,US/UK,Mid-2024 reprint
76,Paldea Evolved,2023-06-09,Premium Checklane Blister,Premium Checklane Blister,Arboliva,SVI023,Vertical Line Holo,US/UK,Product-exclusive holo treatment
77,Paldea Evolved,2023-06-09,Premium Checklane Blister,Premium Checklane Blister,Pawmot,SVI076,Vertical Line Holo,US/UK,Product-exclusive holo treatment
78,Paldea Evolved,2023-06-09,Stage 1 Blister,Stage 1 Blister,Armarouge,SVI041,Vertical Line Holo,US/UK,Product-exclusive holo treatment
79,Paldea Evolved,2023-06-09,Stage 1 Blister,Stage 1 Blister,Dondozo,SVI061,Vertical Line Holo,US/UK,Product-exclusive holo treatment
80,Paldea Evolved,2023-06-09,Premium Checklane Blister,Premium Checklane Blister,Dolliv,SVI022,Non Holo,US/UK,Included with Arboliva blister
81,Paldea Evolved,2023-06-09,Premium Checklane Blister,Premium Checklane Blister,Pawmi,SVI073,Non Holo,US/UK,Included with Pawmot blister
82,Paldea Evolved,2023-06-09,Premium Checklane Blister,Premium Checklane Blister,Pawmo,SVI075,Non Holo,US/UK,Included with Pawmot blister
83,Paldea Evolved,2023-06-09,Stage 1 Blister,Stage 1 Blister,Smoliv,SVI020,Non Holo,US/UK,Included with Arboliva blister
84,Paldea Evolved,2023-06-09,Stage 1 Blister,Stage 1 Blister,Charcadet,SVI039,Non Holo,US/UK,Included with Armarouge blister
85,Paldea Evolved,2023-06-09,Stage 1 Blister,Stage 1 Blister,Tatsugiri,SVI062,Non Holo,US/UK,Included with Dondozo blister
