Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,MCAP Cards,SSP046,Shellos,Non Holo,US/UK,Destined Rivals - Stage 1 Blister,Included with Gastrodon blister
,MCAP Cards,SSP065,Tapu Koko,Non Holo,US/UK,Surging Sparks - Build & Battle Box,Deck-exclusive
,MCAP Cards,SSP070,Togepi,Non Holo,US/UK,Destined Rivals - Premium Checklane Blister,Included with Togekiss blister
,MCAP Cards,SSP071,Togetic,Non Holo,US/UK,Destined Rivals - Premium Checklane Blister,Included with Togekiss blister
,MCAP Cards,SSP072,Togekiss,Cosmos Holo,US/UK,Destined Rivals - Premium Checklane Blister,
,MCAP Cards,SSP107,Gastrodon,Cosmos Holo,US/UK,Destined Rivals - Stage 1 Blister,
,Prize Pack Cards,SSP019,Ho-Oh,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP036,Ceruledge ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP057,Pikachu ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP059,Magneton,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP065,Tapu Koko,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP074,Azumarill,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP076,Latias ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP086,Sylveon ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP107,Gastrodon,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP130,Archaludon ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP143,Eevee,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP161,Terapagos,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP164,Brilliant Blender,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP169,Counter Gain,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP176,Energy Search Pro,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP177,Gravity Mountain,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP185,Precious Trolley,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP186,Scramble Switch,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,SSP189,Tera Orb,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Other Cards,SSP161,Terapagos,Pokemon Center Stamp,US,Surging Sparks - Retailer Gift With Purchase,Distributed with Quaxly at Pokemon Center
,Other Cards,,Quaxly,Pokemon Center Stamp,US,Surging Sparks - Retailer Gift With Purchase,Distributed with Terapagos; card number to verify
