Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,Promo Cards,SVP004,Mimikyu ex,Black Star Promo,US/UK,Scarlet & Violet - Mimikyu ex Box,Cut from Scarlet & Violet during localization
,Promo Cards,SVP009,Spidops,Pixel Cosmos,US/UK,Scarlet & Violet - Single Pack Blister (Reprint),Mid-2024 reprint
,Promo Cards,SVP009,Spidops,Smooth Cosmos,US/UK,Scarlet & Violet - Single Pack Blister,Initial release; later reprinted with Pixel Cosmos
,Promo Cards,SVP010,Espathra,Smooth Cosmos,US/UK,Scarlet & Violet - Single Pack Blister,
,Promo Cards,SVP011,Arcanine,Pixel Cosmos,US/UK,Scarlet & Violet - 3-Pack Blister (Reprint),Mid-2024 reprint
,Promo Cards,SVP011,Arcanine,Smooth Cosmos,US/UK,Scarlet & Violet - 3-Pack Blister,Initial release; later reprinted with Pixel Cosmos
,Promo Cards,SVP012,Dondozo,Pixel Cosmos,US/UK,Scarlet & Violet - 3-Pack Blister (Reprint),Mid-2024 reprint
,Promo Cards,SVP012,Dondozo,Smooth Cosmos,US/UK,Scarlet & Violet - 3-Pack Blister,Initial release; later reprinted with Pixel Cosmos
,Promo Cards,SVP013,Miraidon,Black Star Promo,US/UK,Scarlet & Violet - Elite Trainer Box,
,Promo Cards,SVP013,Miraidon,Pokemon Center Stamp,US/UK,Scarlet & Violet - Pokemon Center ETB,
,Promo Cards,SVP014,Koraidon,Black Star Promo,US/UK,Scarlet & Violet - Elite Trainer Box,
,Promo Cards,SVP014,Koraidon,Pokemon Center Stamp,US/UK,Scarlet & Violet - Pokemon Center ETB,
,Promo Cards,SVP015,Flaaffy,Black Star Promo,US/UK,Scarlet & Violet - Ampharos ex Battle Deck,
,Promo Cards,SVP016,Ampharos ex,Black Star Promo,US/UK,Scarlet & Violet - Ampharos ex Battle Deck,
,Promo Cards,SVP017,Lucario ex,Black Star Promo,US/UK,Scarlet & Violet - Lucario ex Battle Deck,
,Promo Cards,SVP018,Cyclizar ex,Black Star Promo,US/UK,Scarlet & Violet - Cyclizar ex Box,
,MCAP Cards,SVI013,Sprigatito,Mirage Holo,US/UK,Scarlet & Violet - Sprigatito Collection | Scarlet & Violet - Fuecoco Collection | Scarlet & Violet - Quaxly Collection,Product-exclusive holo treatment
,MCAP Cards,SVI015,Meowscarada,Cosmos Holo,North America,Paradox Rift - Fall 2023 Collector Chest,
,MCAP Cards,SVI020,Smoliv,Non Holo,US/UK,Paldea Evolved - Stage 1 Blister,Included with Arboliva blister
,MCAP Cards,SVI022,Dolliv,Non Holo,US/UK,Paldea Evolved - Premium Checklane Blister,Included with Arboliva blister
,MCAP Cards,SVI023,Arboliva,Non Holo,US/UK,151 - Greninja & Kangaskhan ex Battle Decks,Exclusive promotional card; exact deck mapping to verify
,MCAP Cards,SVI023,Arboliva,Vertical Line Holo,US/UK,Paldea Evolved - Premium Checklane Blister,Product-exclusive holo treatment
,MCAP Cards,SVI032,Arcanine ex,Reprint,US/UK,Shrouded Fable - Tera Team Premium Collection,
,MCAP Cards,SVI036,Fuecoco,Mirage Holo,US/UK,Scarlet & Violet - Sprigatito Collection | Scarlet & Violet - Fuecoco Collection | Scarlet & Violet - Quaxly Collection,Product-exclusive holo treatment
,MCAP Cards,SVI038,Skeledirge,Cosmos Holo,North America,Paradox Rift - Fall 2023 Collector Chest,
,MCAP Cards,SVI038,Skeledirge,Non Holo,US/UK,Twilight Masquerade - Victini & Miraidon ex Battle Decks,Exact deck mapping to verify
,MCAP Cards,SVI039,Charcadet,Non Holo,US/UK,Paldea Evolved - Stage 1 Blister,Included with Armarouge blister
,MCAP Cards,SVI041,Armarouge,Mirage Holo,US/UK,Obsidian Flames - Enhanced 2-Pack Blister,Armarouge Revavroom and Houndstone blister
,MCAP Cards,SVI041,Armarouge,Vertical Line Holo,US/UK,Paldea Evolved - Stage 1 Blister,Product-exclusive holo treatment
,MCAP Cards,SVI044,Magikarp,Parallel Holo,US/UK,Paradox Rift - Gyarados ex Premium Collection,
,MCAP Cards,SVI052,Quaxly,Mirage Holo,US/UK,Scarlet & Violet - Sprigatito Collection | Scarlet & Violet - Fuecoco Collection | Scarlet & Violet - Quaxly Collection,Product-exclusive holo treatment
,MCAP Cards,SVI054,Quaquaval,Cosmos Holo,North America,Paradox Rift - Fall 2023 Collector Chest,
,MCAP Cards,SVI054,Quaquaval,Non Holo,US/UK,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium | 151 - Greninja & Kangaskhan ex Battle Decks,Deck-exclusive | Rereleased promotional card; exact deck mapping to verify
,MCAP Cards,SVI061,Dondozo,Non Holo,US/UK,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium,Deck-exclusive
,MCAP Cards,SVI061,Dondozo,Vertical Line Holo,US/UK,Paldea Evolved - Stage 1 Blister,Product-exclusive holo treatment
,MCAP Cards,SVI062,Tatsugiri,Non Holo,US/UK,Paldea Evolved - Stage 1 Blister,Included with Dondozo blister
,MCAP Cards,SVI063,Magnemite,Reprint,US/UK,151 - Evolving Powers Premium Collection,
,MCAP Cards,SVI064,Magneton,Reprint,US/UK,151 - Evolving Powers Premium Collection,
,MCAP Cards,SVI065,Magnezone ex,Reprint,US/UK,151 - Evolving Powers Premium Collection,
,MCAP Cards,SVI070,Rotom,Cosmos Holo,US/UK,Scarlet & Violet - Cyclizar ex Box,Product-exclusive holo treatment
,MCAP Cards,SVI073,Pawmi,Non Holo,US/UK,Paldea Evolved - Premium Checklane Blister,Included with Pawmot blister
,MCAP Cards,SVI075,Pawmo,Non Holo,US/UK,Paldea Evolved - Premium Checklane Blister,Included with Pawmot blister
,MCAP Cards,SVI076,Pawmot,Non Holo,US/UK,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium | Temporal Forces - Ninetales & Zapdos ex Deluxe Battle Decks,Deck-exclusive | Rereleased promotional card; exact deck mapping to verify
,MCAP Cards,SVI076,Pawmot,Vertical Line Holo,US/UK,Paldea Evolved - Premium Checklane Blister,Product-exclusive holo treatment
,MCAP Cards,SVI080,Miraidon,Non Holo,US/UK,Scarlet & Violet - Ampharos ex Battle Deck,Deck-exclusive
,MCAP Cards,SVI084,Ralts,Reprint,US/UK,151 - Evolving Powers Premium Collection,
,MCAP Cards,SVI085,Kirlia,Reprint,US/UK,151 - Evolving Powers Premium Collection,
,MCAP Cards,SVI086,Gardevoir ex,Reprint,US/UK,151 - Evolving Powers Premium Collection,
,MCAP Cards,SVI104,Greavard,Non Holo,US/UK,Obsidian Flames - Stage 1 Blister,Included with Houndstone blister
,MCAP Cards,SVI105,Greavard,Mirage Holo,US/UK,Scarlet & Violet - Mimikyu ex Box,Product-exclusive holo treatment
,MCAP Cards,SVI106,Houndstone,Mirage Holo,US/UK,Obsidian Flames - Enhanced 2-Pack Blister,Armarouge Revavroom and Houndstone blister
,MCAP Cards,SVI106,Houndstone,Non Holo,US/UK,Obsidian Flames - Stage 1 Blister,Included with Houndstone blister
,MCAP Cards,SVI107,Mankey,Non Holo,US/UK,Obsidian Flames - Premium Checklane Blister,Included with Annihilape blister
,MCAP Cards,SVI108,Primeape,Non Holo,US/UK,Obsidian Flames - Premium Checklane Blister,Included with Annihilape blister
,MCAP Cards,SVI109,Annihilape,Non Holo,US/UK,Scarlet & Violet - Lucario ex Battle Deck | Obsidian Flames - Premium Checklane Blister,Deck-exclusive | Included with Annihilape blister
,MCAP Cards,SVI118,Hawlucha,Non Holo,US/UK,Temporal Forces - Ninetales & Zapdos ex Deluxe Battle Decks,Exclusive promotional card; exact deck mapping to verify
,MCAP Cards,SVI122,Klawf,Pixel Cosmos,US/UK,Paradox Rift - Paldea Friends Mini Tin 5-Pack,
,MCAP Cards,SVI124,Koraidon,Non Holo,US/UK,Scarlet & Violet - Lucario ex Battle Deck,Deck-exclusive
,MCAP Cards,SVI129,Spiritomb,Cosmos Holo,US/UK,Temporal Forces - Triple Whammy Tin,Australia early May 2024; North America early October 2024
,MCAP Cards,SVI132,Pawniard,Non Holo,US/UK,Obsidian Flames - Premium Checklane Blister,Included with Kingambit blister
,MCAP Cards,SVI133,Bisharp,Non Holo,US/UK,Obsidian Flames - Premium Checklane Blister,Included with Kingambit blister
,MCAP Cards,SVI134,Kingambit,Non Holo,US/UK,Obsidian Flames - Premium Checklane Blister,Included with Kingambit blister
,MCAP Cards,SVI141,Varoom,Non Holo,US/UK,Obsidian Flames - Stage 1 Blister,Included with Revavroom blister
,MCAP Cards,SVI142,Revavroom,Mirage Holo,US/UK,Obsidian Flames - Enhanced 2-Pack Blister,Armarouge Revavroom and Houndstone blister
,MCAP Cards,SVI142,Revavroom,Non Holo,US/UK,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium | Obsidian Flames - Stage 1 Blister | Temporal Forces - Houndoom & Melmetal ex Battle Decks,Deck-exclusive | Included with Revavroom blister | Rereleased promotional card; exact deck mapping to verify
,MCAP Cards,SVI153,Indeedee,Non Holo,US/UK,Obsidian Flames - Meowscarada ex Deluxe Battle Deck,Exclusive promotional card
,MCAP Cards,SVI154,Lechonk,Cosmos Holo,US/UK,Paradox Rift - Oinkologne ex Box,Product-exclusive holo treatment
,MCAP Cards,SVI158,Oinkologne ex,Holo,US/UK,Paradox Rift - Oinkologne ex Box,
,MCAP Cards,SVI164,Cyclizar,Non Holo,US/UK,Scarlet & Violet - Lucario ex Battle Deck | Twilight Masquerade - Victini & Miraidon ex Battle Decks,Deck-exclusive | Rereleased promotional card; exact deck mapping to verify
,MCAP Cards,SVI189,Professor's Research,Non Holo,US/UK,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium | Paldea Evolved - Build & Battle Box | Paldea Evolved - Trainer's Toolkit 2023 | Paldea Evolved - Build & Battle Stadium | Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium | Obsidian Flames - Meowscarada ex Deluxe Battle Deck | Temporal Forces - Ninetales & Zapdos ex Deluxe Battle Decks | Temporal Forces - Gardevoir ex League Battle Deck | Shrouded Fable - Koraidon & Miraidon ex Deluxe Battle Decks,Deck-exclusive (Professor Sada) | Rereleased from Scarlet & Violet; Professor Sada | Two copies included; rereleased promotional card | Rereleased promotional card | Rereleased promotional card; exact deck mapping to verify | Rereleased promotional card; source text says Sword & Shield 189
,MCAP Cards,SVI190,Professor's Research,Non Holo,US/UK,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium | Paldea Evolved - Build & Battle Box | Paldea Evolved - Trainer's Toolkit 2023 | Paldea Evolved - Build & Battle Stadium | Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium | Paradox Rift - Miraidon ex League Battle Deck | Shrouded Fable - Koraidon & Miraidon ex Deluxe Battle Decks | Surging Sparks - Charizard ex League Battle Deck,Deck-exclusive (Professor Turo) | Rereleased from Scarlet & Violet; Professor Turo | Two copies included; rereleased promotional card | Rereleased promotional card | Rereleased promotional card; source text says Sword & Shield 190
,MCAP Cards,SVI225,Gyarados ex,Holo,US/UK,Paradox Rift - Gyarados ex Premium Collection,
,Other Cards,SVI015,Meowscarada,Starlight Holo,Europe,Paradox Rift - Fall 2023 Collector Chest,
,Other Cards,SVI038,Skeledirge,Starlight Holo,Europe,Paradox Rift - Fall 2023 Collector Chest,
,Other Cards,SVI054,Quaquaval,Starlight Holo,Europe,Paradox Rift - Fall 2023 Collector Chest,
,Other Cards,SVI081,Miraidon ex,Holo,US/UK,Obsidian Flames - Paradox Powers ex Special Collection,Amazon exclusive
,Other Cards,SVI125,Koraidon ex,Holo,US/UK,Obsidian Flames - Paradox Powers ex Special Collection,Amazon exclusive
