Owned,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,MCAP Cards,JTG095,Tyranitar,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,Journey Together reprint in Mega-era product | Journey Together reprint
,MCAP Cards,JTG128,Noivern,Non Holo,US/UK,Journey Together - Build & Battle Box,Deck-exclusive
,MCAP Cards,JTG135,Hop's Wooloo,Cosmos Holo,US/UK,Journey Together - Hop's Zacian ex Box,
,MCAP Cards,JTG136,Hop's Dubwool,Cosmos Holo,US/UK,Journey Together - Hop's Zacian ex Box,
,MCAP Cards,JTG151,Lillie's Pearl,Cosmos Holo,US/UK,Journey Together - Lillie Premium Tournament Collection,Three copies included
,Prize Pack Cards,JTG027,N's Darmanitan,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,JTG047,Iono's Voltorb,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,JTG053,Iono's Bellibolt ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,JTG055,Iono's Kilowattrel,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,JTG056,Lillie's Clefairy ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,JTG067,Lillie's Ribombee,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,Prize Pack Cards,JTG079,Mamoswine ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,JTG095,Tyranitar,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,JTG098,N's Zoroark ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,JTG111,Hop's Zacian ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,JTG116,N's Reshiram,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted | Official card list; two checkbox marks extracted
,Prize Pack Cards,JTG117,Hop's Snorlax,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted | Official card list; two checkbox marks extracted
,Prize Pack Cards,JTG136,Hop's Dubwool,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted | Official card list; two checkbox marks extracted
,Prize Pack Cards,JTG146,Brock's Scouting,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,JTG147,Hop's Bag,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,JTG148,Hop's Choice Band,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,JTG149,Iris's Fighting Spirit,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,JTG150,Levincia,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,Prize Pack Cards,JTG151,Lillie's Pearl,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,Prize Pack Cards,JTG152,N's Castle,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,Prize Pack Cards,JTG153,N's PP Up,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,Prize Pack Cards,JTG154,Postwick,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
