Owned,Set Code,Set,Category,Card Number,Card Name,Variant,Region,Purchase Options,Notes
,DRI,Destined Rivals,Prize Pack Cards,DRI010,Shaymin,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI020,Team Rocket's Spidops,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI033,Ethan's Quilava,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI034,Ethan's Typhlosion,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI036,Ethan's Magcargo,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI039,Ethan's Ho-Oh ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI081,Team Rocket's Mewtwo ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI103,Cynthia's Gabite,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI104,Cynthia's Garchomp ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI119,Team Rocket's Nidoking ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI122,Team Rocket's Crobat ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI139,Arven's Mabosstiff ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI162,Cynthia's Power Weight,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI165,Ethan's Adventure,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI170,Team Rocket's Archer,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI171,Team Rocket's Ariana,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI173,Team Rocket's Factory,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI174,Team Rocket's Giovanni,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI176,Team Rocket's Petrel,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI177,Team Rocket's Proton,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI178,Team Rocket's Transceiver,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,DRI,Destined Rivals,Prize Pack Cards,DRI182,Team Rocket's Energy,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,JTG,Journey Together,Stamped Cards,JTG032,Articuno,Cosmos Holo Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,
,JTG,Journey Together,Stamped Cards,JTG069,Mimikyu ex,Journey Together Stamp,US/UK,Black Bolt & White Flare - Mimikyu ex & Alcremie ex Premium Collection,Target exclusive
,JTG,Journey Together,Stamped Cards,JTG075,Alcremie ex,Journey Together Stamp,US/UK,Black Bolt & White Flare - Mimikyu ex & Alcremie ex Premium Collection,Target exclusive
,JTG,Journey Together,Stamped Cards,JTG117,Hop's Snorlax,EB Games Stamp,Australia,Journey Together - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,JTG,Journey Together,Stamped Cards,JTG117,Hop's Snorlax,GameStop Stamp,US/Canada,Journey Together - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,JTG,Journey Together,Stamped Cards,JTG136,Hop's Dubwool,Best Buy Stamp,US,Journey Together - Retailer Gift With Purchase,Spend 15 dollars on Pokemon TCG products
,JTG,Journey Together,Stamped Cards,JTG167,N's Reshiram,Expansion Logo Stamp,US/UK,Journey Together - Enhanced Booster Display Box,Box topper
,JTG,Journey Together,Stamped Cards,SVP181,N's Darmanitan,Black Star Promo,US/UK,Journey Together - Build & Battle Box,One of four possible promo decks
,JTG,Journey Together,Stamped Cards,SVP182,Iono's Kilowattrel,Black Star Promo,US/UK,Journey Together - Build & Battle Box,One of four possible promo decks
,JTG,Journey Together,Stamped Cards,SVP183,Lillie's Ribombee,Black Star Promo,US/UK,Journey Together - Build & Battle Box,One of four possible promo decks
,JTG,Journey Together,Stamped Cards,SVP184,Hop's Snorlax,Black Star Promo,US/UK,Journey Together - Build & Battle Box,One of four possible promo decks
,JTG,Journey Together,Staff Cards,SVP181,N's Darmanitan,Staff Stamp,US/UK,Journey Together - Build & Battle Box,Prerelease staff variant
,JTG,Journey Together,Staff Cards,SVP182,Iono's Kilowattrel,Staff Stamp,US/UK,Journey Together - Build & Battle Box,Prerelease staff variant
,JTG,Journey Together,Staff Cards,SVP183,Lillie's Ribombee,Staff Stamp,US/UK,Journey Together - Build & Battle Box,Prerelease staff variant
,JTG,Journey Together,Staff Cards,SVP184,Hop's Snorlax,Staff Stamp,US/UK,Journey Together - Build & Battle Box,Prerelease staff variant
,JTG,Journey Together,Promo Cards,SVP185,Yanma,Cosmos Holo,US/UK,Journey Together - Single Pack Blister,
,JTG,Journey Together,Promo Cards,SVP186,Scraggy,Cosmos Holo,US/UK,Journey Together - Single Pack Blister,
,JTG,Journey Together,Promo Cards,SVP187,Yanmega,Cosmos Holo,US/UK,Journey Together - 3-Pack Blister,
,JTG,Journey Together,Promo Cards,SVP188,Scrafty,Cosmos Holo,US/UK,Journey Together - 3-Pack Blister,
,JTG,Journey Together,Promo Cards,SVP189,N's Zorua,Black Star Promo,US/UK,Journey Together - Elite Trainer Box,
,JTG,Journey Together,Promo Cards,SVP189,N's Zorua,Pokemon Center Stamp,US/UK,Journey Together - Pokemon Center ETB,
,JTG,Journey Together,Promo Cards,SVP193,Hop's Zacian ex,Black Star Promo,US/UK,Journey Together - Hop's Zacian ex Box,
,JTG,Journey Together,Promo Cards,SVP194,Iono's Bellibolt ex,Black Star Promo,US/UK,Journey Together - Iono's Bellibolt ex Premium Collection,
,JTG,Journey Together,Promo Cards,SVP195,Lillie's Clefairy ex,Black Star Promo,US/UK,Journey Together - Lillie Premium Tournament Collection,
,JTG,Journey Together,Promo Cards,SVP197,Koraidon ex,Black Star Promo,US/UK,Journey Together - Slashing Legends Tin,Available in hexagonal and octagonal tin designs
,JTG,Journey Together,Promo Cards,SVP198,Zacian ex,Black Star Promo,US/UK,Journey Together - Slashing Legends Tin,Available in hexagonal and octagonal tin designs
,JTG,Journey Together,Promo Cards,SVP206,Marnie's Morpeko,Black Star Promo,US/UK,Journey Together - Rival Battle Deck - Marnie,
,JTG,Journey Together,Promo Cards,SVP207,Steven's Beldum,Black Star Promo,US/UK,Journey Together - Rival Battle Deck - Steven,
,JTG,Journey Together,MCAP Cards,JTG018,Meowscarada,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,Journey Together reprint in Mega-era product | Journey Together reprint
,JTG,Journey Together,MCAP Cards,JTG024,Blaziken ex,Holo,US/UK,Black Bolt & White Flare - Blaziken ex & Volcanion ex Premium Collection,Amazon exclusive
,JTG,Journey Together,MCAP Cards,JTG031,Volcanion ex,Holo,US/UK,Black Bolt & White Flare - Blaziken ex & Volcanion ex Premium Collection,Amazon exclusive
,JTG,Journey Together,MCAP Cards,JTG041,Wailord,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,Journey Together reprint in Mega-era product | Journey Together reprint
,JTG,Journey Together,MCAP Cards,JTG052,Iono's Tadbulb,Cosmos Holo,US/UK,Journey Together - Iono's Bellibolt ex Premium Collection,
,JTG,Journey Together,MCAP Cards,JTG055,Iono's Kilowattrel,Non Holo,US/UK,Journey Together - Build & Battle Box,Deck-exclusive
,JTG,Journey Together,MCAP Cards,JTG085,Lycanroc,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,Journey Together reprint in Mega-era product | Journey Together reprint
,JTG,Journey Together,MCAP Cards,JTG095,Tyranitar,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,Journey Together reprint in Mega-era product | Journey Together reprint
,JTG,Journey Together,MCAP Cards,JTG128,Noivern,Non Holo,US/UK,Journey Together - Build & Battle Box,Deck-exclusive
,JTG,Journey Together,MCAP Cards,JTG135,Hop's Wooloo,Cosmos Holo,US/UK,Journey Together - Hop's Zacian ex Box,
,JTG,Journey Together,MCAP Cards,JTG136,Hop's Dubwool,Cosmos Holo,US/UK,Journey Together - Hop's Zacian ex Box,
,JTG,Journey Together,MCAP Cards,JTG151,Lillie's Pearl,Cosmos Holo,US/UK,Journey Together - Lillie Premium Tournament Collection,Three copies included
,JTG,Journey Together,Prize Pack Cards,JTG027,N's Darmanitan,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,JTG,Journey Together,Prize Pack Cards,JTG047,Iono's Voltorb,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,JTG,Journey Together,Prize Pack Cards,JTG053,Iono's Bellibolt ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,JTG,Journey Together,Prize Pack Cards,JTG055,Iono's Kilowattrel,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,JTG,Journey Together,Prize Pack Cards,JTG056,Lillie's Clefairy ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,JTG,Journey Together,Prize Pack Cards,JTG067,Lillie's Ribombee,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,JTG,Journey Together,Prize Pack Cards,JTG079,Mamoswine ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,JTG,Journey Together,Prize Pack Cards,JTG095,Tyranitar,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,JTG,Journey Together,Prize Pack Cards,JTG098,N's Zoroark ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,JTG,Journey Together,Prize Pack Cards,JTG111,Hop's Zacian ex,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,JTG,Journey Together,Prize Pack Cards,JTG116,N's Reshiram,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted | Official card list; two checkbox marks extracted
,JTG,Journey Together,Prize Pack Cards,JTG117,Hop's Snorlax,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted | Official card list; two checkbox marks extracted
,JTG,Journey Together,Prize Pack Cards,JTG136,Hop's Dubwool,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted | Official card list; two checkbox marks extracted
,JTG,Journey Together,Prize Pack Cards,JTG146,Brock's Scouting,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,JTG,Journey Together,Prize Pack Cards,JTG147,Hop's Bag,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,JTG,Journey Together,Prize Pack Cards,JTG148,Hop's Choice Band,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,JTG,Journey Together,Prize Pack Cards,JTG149,Iris's Fighting Spirit,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,JTG,Journey Together,Prize Pack Cards,JTG150,Levincia,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,JTG,Journey Together,Prize Pack Cards,JTG151,Lillie's Pearl,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,JTG,Journey Together,Prize Pack Cards,JTG152,N's Castle,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,Official card list; one checkbox mark extracted
,JTG,Journey Together,Prize Pack Cards,JTG153,N's PP Up,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; two checkbox marks extracted
,JTG,Journey Together,Prize Pack Cards,JTG154,Postwick,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven | Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,Official card list; one checkbox mark extracted
,MEW,151,Stamped Cards,MEW025,Pikachu,Cosmos Holo Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,
,MEW,151,Stamped Cards,MEW133,Eevee,Cosmos Holo Snowflake Stamp,US/UK,Black Bolt & White Flare - Holiday Calendar 2025,
,MEW,151,Promo Cards,SVP046,Bulbasaur,Pixel Cosmos,US/UK,151 - Poster Collection (Reprint),Early 2024 reprint
,MEW,151,Promo Cards,SVP046,Bulbasaur,Smooth Cosmos,US/UK,151 - Poster Collection,Initial release; later reprinted with Pixel Cosmos
,MEW,151,Promo Cards,SVP047,Charmander,Pixel Cosmos,US/UK,151 - Poster Collection (Reprint),Early 2024 reprint
,MEW,151,Promo Cards,SVP047,Charmander,Smooth Cosmos,US/UK,151 - Poster Collection,Initial release; later reprinted with Pixel Cosmos
,MEW,151,Promo Cards,SVP048,Squirtle,Pixel Cosmos,US/UK,151 - Poster Collection (Reprint),Early 2024 reprint
,MEW,151,Promo Cards,SVP048,Squirtle,Smooth Cosmos,US/UK,151 - Poster Collection,Initial release; later reprinted with Pixel Cosmos
,MEW,151,Promo Cards,SVP049,Zapdos ex,Black Star Promo,US/UK,151 - Zapdos ex Collection,
,MEW,151,Promo Cards,SVP050,Alakazam ex,Black Star Promo,US/UK,151 - Alakazam ex Collection,
,MEW,151,Promo Cards,SVP051,Snorlax,Black Star Promo,US/UK,151 - Elite Trainer Box,
,MEW,151,Promo Cards,SVP051,Snorlax,Pokemon Center Stamp,US/UK,151 - Pokemon Center ETB,
,MEW,151,Promo Cards,SVP052,Mewtwo,Black Star Promo,US/UK,151 - Ultra-Premium Collection,
,MEW,151,Promo Cards,SVP053,Mew ex,Black Star Promo,US/UK,151 - Ultra-Premium Collection,
,MEW,151,Promo Cards,SVP054,Greninja ex,Black Star Promo,US/UK,151 - Greninja ex Battle Deck,Cut from Obsidian Flames during localization
,MEW,151,Promo Cards,SVP055,Kangaskhan ex,Black Star Promo,US/UK,151 - Kangaskhan ex Battle Deck,Alternate artwork
,MEW,151,Promo Cards,SVP056,Charizard ex,Black Star Promo,US/UK,151 - Charizard ex Premium Collection,Alternate artwork
,MEW,151,MCAP Cards,MEW001,Bulbasaur,Cosmos Parallel Holo,US/UK,Stellar Crown - 151 Mini Tin 5-Pack,Costco early October 2024
,MEW,151,MCAP Cards,MEW001,Bulbasaur,Parallel Holo,US/UK,Prismatic Evolutions - 151 Blooming Waters Premium Collection,
,MEW,151,MCAP Cards,MEW003,Venusaur ex,Holo,US/UK,Prismatic Evolutions - 151 Blooming Waters Premium Collection,
