Generated Set Code,Printed Set Code,Category,Card Name,Card Number,Variant,Region,Override Set Code,Override Category,Exclude,Review Notes,Release Set,Product,Source Rows
MEP,MEP,Stamped Cards,Zacian,MEP015,Black Star Promo,US/UK,,,,,,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:39
MEP,MEP,Stamped Cards,Flygon,MEP016,Black Star Promo,US/UK,,,,,,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:40
MEP,MEP,Stamped Cards,Toxtricity,MEP017,Black Star Promo,US/UK,,,,,,Phantasmal Flames - Phantasmal Flames Build & Battle Box,mega_placeholders.csv:41
MEP,MEP,Stamped Cards,Serperior,MEP064,Black Star Promo,US/UK,,,,,,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:89
MEP,MEP,Stamped Cards,Barbaracle,MEP065,Black Star Promo,US/UK,,,,,,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:90
MEP,MEP,Stamped Cards,Tyrantrum,MEP066,Black Star Promo,US/UK,,,,,,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:91
MEP,MEP,Stamped Cards,Doublade,MEP067,Black Star Promo,US/UK,,,,,,Perfect Order - Perfect Order Build & Battle Box,mega_placeholders.csv:92
MEP,MEP,Stamped Cards,Delphox,MEP074,Black Star Promo,US/UK,,,,,,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:114
MEP,MEP,Stamped Cards,Ampharos,MEP075,Black Star Promo,US/UK,,,,,,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:115
MEP,MEP,Stamped Cards,Crobat,MEP076,Black Star Promo,US/UK,,,,,,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:116
MEP,MEP,Stamped Cards,Goodra,MEP077,Black Star Promo,US/UK,,,,,,Chaos Rising - Chaos Rising Build & Battle Box,mega_placeholders.csv:117
MEW,MEW,Stamped Cards,Pikachu,MEW025,Cosmos Holo Snowflake Stamp,US/UK,,,,,,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:708
MEW,MEW,Stamped Cards,Eevee,MEW133,Cosmos Holo Snowflake Stamp,US/UK,,,,,,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:709
OBF,OBF,Stamped Cards,Eiscue ex,OBF042,Snowflake Stamp,US/UK,,,,,,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:446
OBF,OBF,Stamped Cards,Espeon,OBF086,Obsidian Flames Stamp,US,,,,,,Obsidian Flames - Retailer Gift With Purchase,placeholders.csv:759
OBF,OBF,Stamped Cards,Umbreon,OBF130,EB Games Stamp,Australia/New Zealand,,,,,,Obsidian Flames - Retailer Gift With Purchase,placeholders.csv:758
OBF,OBF,Stamped Cards,Umbreon,OBF130,GameStop Stamp,US/Canada,,,,,,Obsidian Flames - Retailer Gift With Purchase,placeholders.csv:757
PAL,PAL,Stamped Cards,Delibird,PAL046,Cosmos Holo Snowflake Stamp,US/UK,,,,,,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:707
PAL,PAL,Stamped Cards,Cetoddle,PAL053,Cosmos Holo Snowflake Stamp,US/UK,,,,,,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:442
PAL,PAL,Stamped Cards,Frigibax,PAL058,Cosmos Holo Snowflake Stamp,US/UK,,,,,,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:443
PAL,PAL,Stamped Cards,Chien-Pao ex,PAL061,Snowflake Stamp,US/UK,,,,,,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:444
PAL,PAL,Stamped Cards,Pikachu ex,PAL063,Snowflake Stamp,US/UK,,,,,,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:445
PAL,PAL,Stamped Cards,Tinkaton,PAL105,GameStop Stamp,US/Canada,,,,,,Paldea Evolved - Retailer Gift With Purchase,placeholders.csv:755
PAL,PAL,Stamped Cards,Tinkaton,PAL105,Paldea Evolved Stamp,US,,,,,,Paldea Evolved - Retailer Gift With Purchase,placeholders.csv:756
PAL,PAL,Stamped Cards,Iono,PAL185,Cosmos Holo Iono Zone Stamp,US/UK,,,,,,Temporal Forces - Iono Premium Tournament Collection,placeholders.csv:347
PAR,PAR,Stamped Cards,Iron Moth,PAR028,EB Games Stamp,Australia/New Zealand,,,,,,Paradox Rift - Retailer Gift With Purchase,placeholders.csv:761
PAR,PAR,Stamped Cards,Iron Moth,PAR028,GameStop Stamp,US/Canada,,,,,,Paradox Rift - Retailer Gift With Purchase,placeholders.csv:760
PAR,PAR,Stamped Cards,Snorunt,PAR037,Cosmos Holo Snowflake Stamp,US/UK,,,,,,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:447
PAR,PAR,Stamped Cards,Vanilluxe,PAR045,Cosmos Holo Snowflake Stamp,US/UK,,,,,,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:448
PAR,PAR,Stamped Cards,Slither Wing,PAR107,Paradox Rift Stamp,US,,,,,,Paradox Rift - Retailer Gift With Purchase,placeholders.csv:762
PAR,PAR,Stamped Cards,Vanillish,PAR190,Snowflake Stamp,US/UK,,,,,,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:710
PFL,PFL,Stamped Cards,Reshiram,PFL017,Phantasmal Flames Stamp,US,,,,,,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:185
PFL,PFL,Stamped Cards,Suicune,PFL026,EB Games Stamp,Canada/Australia/New Zealand,,,,,,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:184
PFL,PFL,Stamped Cards,Suicune,PFL026,GameStop Stamp,US,,,,,,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:183
POR,POR,Stamped Cards,Aurorus,POR024,Perfect Order Stamp,US,,,,,,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:190
POR,POR,Stamped Cards,Luxray,POR027,Perfect Order Stamp,US/Australia/New Zealand,,,,,,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:189
POR,POR,Stamped Cards,Gengar,POR050,EB Games Stamp,Canada/Australia,,,,,,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:188
POR,POR,Stamped Cards,Gengar,POR050,GameStop Stamp,US,,,,,,Perfect Order - Retailer Gift With Purchase,mega_placeholders.csv:187
PRE,PRE,Stamped Cards,Leafeon ex,PRE006,Expansion Logo Stamp,US/UK,,,,,,Prismatic Evolutions - Surprise Box,placeholders.csv:597
PRE,PRE,Stamped Cards,Flareon ex,PRE014,Expansion Logo Stamp,US/UK,,,,,,Prismatic Evolutions - Surprise Box,placeholders.csv:598
PRE,PRE,Stamped Cards,Vaporeon ex,PRE023,Expansion Logo Stamp,US/UK,,,,,,Prismatic Evolutions - Surprise Box,placeholders.csv:599
PRE,PRE,Stamped Cards,Glaceon ex,PRE026,Expansion Logo Stamp,US/UK,,,,,,Prismatic Evolutions - Surprise Box,placeholders.csv:600
PRE,PRE,Stamped Cards,Glaceon ex,PRE026,Snowflake Stamp,US/UK,,,,,,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:713
PRE,PRE,Stamped Cards,Jolteon ex,PRE030,Expansion Logo Stamp,US/UK,,,,,,Prismatic Evolutions - Surprise Box,placeholders.csv:601
PRE,PRE,Stamped Cards,Espeon ex,PRE034,Expansion Logo Stamp,US/UK,,,,,,Prismatic Evolutions - Surprise Box,placeholders.csv:602
PRE,PRE,Stamped Cards,Sylveon ex,PRE041,Expansion Logo Stamp,US/UK,,,,,,Prismatic Evolutions - Surprise Box,placeholders.csv:603
PRE,PRE,Stamped Cards,Umbreon ex,PRE060,Expansion Logo Stamp,US/UK,,,,,,Prismatic Evolutions - Surprise Box,placeholders.csv:604
PRE,PRE,Stamped Cards,Eevee,PRE074,Cosmos Parallel Holo Pokemon Day 2025 Stamp,US/UK,,,,,,Prismatic Evolutions - Prismatic Evolutions Two Pack Blister,placeholders.csv:610
PRE,PRE,Stamped Cards,Eevee ex,PRE075,Expansion Logo Stamp,US/UK,,,,,,Prismatic Evolutions - Surprise Box,placeholders.csv:605
PRE,PRE,Stamped Cards,Lugia ex,PRE082,Prismatic Evolutions Stamp,US/UK,,,,,,Black Bolt & White Flare - Lugia ex & Latias ex Premium Collection,placeholders.csv:724
SCR,SCR,Stamped Cards,Venusaur ex,SCR001,Expansion Logo Stamp,US/UK,,,,,,Black Bolt & White Flare - Venusaur ex & Blastoise ex Premium Collection,placeholders.csv:705
SCR,SCR,Stamped Cards,Blastoise ex,SCR030,Expansion Logo Stamp,US/UK,,,,,,Black Bolt & White Flare - Venusaur ex & Blastoise ex Premium Collection,placeholders.csv:706
SCR,SCR,Stamped Cards,Archaludon,SCR107,EB Games Stamp,Australia/New Zealand,,,,,,Stellar Crown - Retailer Gift With Purchase,placeholders.csv:769
SCR,SCR,Stamped Cards,Archaludon,SCR107,GameStop Stamp,US/Canada,,,,,,Stellar Crown - Retailer Gift With Purchase,placeholders.csv:768
SCR,SCR,Stamped Cards,Crabominable,SCR149,Snowflake Stamp,US/UK,,,,,,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:711
SSP,SSP,Stamped Cards,Cryogonal,SSP047,Cosmos Holo Snowflake Stamp,US/UK,,,,,,Black Bolt & White Flare - Holiday Calendar 2025,placeholders.csv:712
SSP,SSP,Stamped Cards,Latias ex,SSP076,Surging Sparks Stamp,US/UK,,,,,,Black Bolt & White Flare - Lugia ex & Latias ex Premium Collection,placeholders.csv:723
SSP,SSP,Stamped Cards,Terapagos,SSP161,Best Buy Stamp,US/Australia/Canada,,,,,,Surging Sparks - Retailer Gift With Purchase,placeholders.csv:773
SSP,SSP,Stamped Cards,Terapagos,SSP161,GameStop Stamp,US/Canada/Australia,,,,,,Surging Sparks - Retailer Gift With Purchase,placeholders.csv:771
SVI,SVI,Stamped Cards,Lechonk,SVI154,Best Buy Stamp,US,,,,,,Scarlet & Violet - Retailer Gift With Purchase,placeholders.csv:754
SVI,SVI,Stamped Cards,Lechonk,SVI154,GameStop Stamp,US/Canada,,,,,,Scarlet & Violet - Retailer Gift With Purchase,placeholders.csv:753
SVP,SVP,Stamped Cards,Quaquaval,SVP005,Black Star Promo,US/UK,,,,,,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium,placeholders.csv:16 | placeholders.csv:41
SVP,SVP,Stamped Cards,Pawmot,SVP006,Black Star Promo,US/UK,,,,,,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium,placeholders.csv:17 | placeholders.csv:42
SVP,SVP,Stamped Cards,Hawlucha,SVP007,Black Star Promo,US/UK,,,,,,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium,placeholders.csv:18 | placeholders.csv:43
SVP,SVP,Stamped Cards,Revavroom,SVP008,Black Star Promo,US/UK,,,,,,Scarlet & Violet - Build & Battle Box | Scarlet & Violet - Build & Battle Stadium,placeholders.csv:19 | placeholders.csv:44
SVP,SVP,Stamped Cards,Baxcalibur,SVP019,Black Star Promo,US/UK,,,,,,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium,placeholders.csv:60 | placeholders.csv:97
SVP,SVP,Stamped Cards,Tinkaton,SVP020,Black Star Promo,US/UK,,,,,,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium,placeholders.csv:61 | placeholders.csv:98
SVP,SVP,Stamped Cards,Murkrow,SVP021,Black Star Promo,US/UK,,,,,,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium,placeholders.csv:62 | placeholders.csv:99
SVP,SVP,Stamped Cards,Pelipper,SVP022,Black Star Promo,US/UK,,,,,,Paldea Evolved - Build & Battle Box | Paldea Evolved - Build & Battle Stadium,placeholders.csv:63 | placeholders.csv:100
SVP,SVP,Stamped Cards,Palafin,SVP036,Black Star Promo,US/UK,,,,,,Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium,placeholders.csv:113 | placeholders.csv:150
SVP,SVP,Stamped Cards,Cleffa,SVP037,Black Star Promo,US/UK,,,,,,Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium,placeholders.csv:114 | placeholders.csv:151
SVP,SVP,Stamped Cards,Togekiss,SVP038,Black Star Promo,US/UK,,,,,,Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium,placeholders.csv:115 | placeholders.csv:152
SVP,SVP,Stamped Cards,Mawile,SVP039,Black Star Promo,US/UK,,,,,,Obsidian Flames - Build & Battle Box | Obsidian Flames - Build & Battle Stadium,placeholders.csv:116 | placeholders.csv:153
SVP,SVP,Stamped Cards,Chi-Yu,SVP057,Black Star Promo,US/UK,,,,,,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,placeholders.csv:200 | placeholders.csv:241
SVP,SVP,Stamped Cards,Iron Bundle,SVP058,Black Star Promo,US/UK,,,,,,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,placeholders.csv:201 | placeholders.csv:242
SVP,SVP,Stamped Cards,Xatu,SVP059,Black Star Promo,US/UK,,,,,,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,placeholders.csv:202 | placeholders.csv:243
SVP,SVP,Stamped Cards,Aegislash,SVP060,Black Star Promo,US/UK,,,,,,Paradox Rift - Build & Battle Box | Paradox Rift - Build & Battle Stadium,placeholders.csv:203 | placeholders.csv:244
SVP,SVP,Stamped Cards,Feraligatr,SVP089,Black Star Promo,US/UK,,,,,,Temporal Forces - Build & Battle Box,placeholders.csv:301
SVP,SVP,Stamped Cards,Metang,SVP090,Black Star Promo,US/UK,,,,,,Temporal Forces - Build & Battle Box,placeholders.csv:302
SVP,SVP,Stamped Cards,Koraidon,SVP091,Black Star Promo,US/UK,,,,,,Temporal Forces - Build & Battle Box,placeholders.csv:303
SVP,SVP,Stamped Cards,Miraidon,SVP092,Black Star Promo,US/UK,,,,,,Temporal Forces - Build & Battle Box,placeholders.csv:304
SVP,SVP,Stamped Cards,Thwackey,SVP115,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Build & Battle Box,placeholders.csv:366
SVP,SVP,Stamped Cards,Infernape,SVP116,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Build & Battle Box,placeholders.csv:367
SVP,SVP,Stamped Cards,Froslass,SVP117,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Build & Battle Box,placeholders.csv:368
SVP,SVP,Stamped Cards,Tatsugiri,SVP118,Black Star Promo,US/UK,,,,,,Twilight Masquerade - Build & Battle Box,placeholders.csv:369
SVP,SVP,Stamped Cards,Ledian,SVP133,Black Star Promo,US/UK,,,,,,Stellar Crown - Build & Battle Box,placeholders.csv:462
SVP,SVP,Stamped Cards,Crabominable,SVP134,Black Star Promo,US/UK,,,,,,Stellar Crown - Build & Battle Box,placeholders.csv:463
SVP,SVP,Stamped Cards,Drifblim,SVP135,Black Star Promo,US/UK,,,,,,Stellar Crown - Build & Battle Box,placeholders.csv:464
SVP,SVP,Stamped Cards,Bouffalant,SVP136,Black Star Promo,US/UK,,,,,,Stellar Crown - Build & Battle Box,placeholders.csv:465
SVP,SVP,Stamped Cards,Gouging Fire,SVP151,Black Star Promo,US/UK,,,,,,Surging Sparks - Build & Battle Box,placeholders.csv:521
SVP,SVP,Stamped Cards,Chien-Pao,SVP152,Black Star Promo,US/UK,,,,,,Surging Sparks - Build & Battle Box,placeholders.csv:522
SVP,SVP,Stamped Cards,Magneton,SVP153,Black Star Promo,US/UK,,,,,,Surging Sparks - Build & Battle Box,placeholders.csv:523
SVP,SVP,Stamped Cards,Indeedee,SVP154,Black Star Promo,US/UK,,,,,,Surging Sparks - Build & Battle Box,placeholders.csv:524
SVP,SVP,Stamped Cards,N's Darmanitan,SVP181,Black Star Promo,US/UK,,,,,,Journey Together - Build & Battle Box,placeholders.csv:614
SVP,SVP,Stamped Cards,Iono's Kilowattrel,SVP182,Black Star Promo,US/UK,,,,,,Journey Together - Build & Battle Box,placeholders.csv:615
SVP,SVP,Stamped Cards,Lillie's Ribombee,SVP183,Black Star Promo,US/UK,,,,,,Journey Together - Build & Battle Box,placeholders.csv:616
SVP,SVP,Stamped Cards,Hop's Snorlax,SVP184,Black Star Promo,US/UK,,,,,,Journey Together - Build & Battle Box,placeholders.csv:617
SVP,SVP,Stamped Cards,Sprigatito,SVP191,GameStop Stamp,US/Canada/Australia,,,,,,Surging Sparks - Retailer Gift With Purchase,placeholders.csv:772
SVP,SVP,Stamped Cards,Fuecoco,SVP192,Best Buy Stamp,US/Australia/Canada,,,,,,Surging Sparks - Retailer Gift With Purchase,placeholders.csv:774
TEF,TEF,Stamped Cards,Pikachu,TEF051,2026 Pokemon Day Stamp,US/UK,,,,,,Mega Evolution - Pokemon Day 2026 Collection,placeholders.csv:751 | mega_placeholders.csv:65
TEF,TEF,Stamped Cards,Koraidon,TEF119,GameStop Stamp,US,,,,,,Temporal Forces - Retailer Gift With Purchase,placeholders.csv:763
TEF,TEF,Stamped Cards,Miraidon,TEF121,Best Buy Stamp,US,,,,,,Temporal Forces - Retailer Gift With Purchase,placeholders.csv:764
TEF,TEF,Stamped Cards,Raging Bolt,TEF123,Best Buy Stamp,US,,,,,,Stellar Crown - Retailer Gift With Purchase,placeholders.csv:770
TWM,TWM,Stamped Cards,Sinistcha,TWM022,Best Buy Stamp,US,,,,,,Twilight Masquerade - Retailer Gift With Purchase,placeholders.csv:765
TWM,TWM,Stamped Cards,Teal Mask Ogerpon,TWM024,EB Games Stamp,Australia/New Zealand,,,,,,Twilight Masquerade - Retailer Gift With Purchase,placeholders.csv:767
TWM,TWM,Stamped Cards,Teal Mask Ogerpon,TWM024,GameStop Stamp,Canada,,,,,,Twilight Masquerade - Retailer Gift With Purchase,placeholders.csv:766
TWM,TWM,Stamped Cards,Hearthflame Mask Ogerpon ex,TWM040,Expansion Logo Stamp,US/UK,,,,,,Destined Rivals - Masks of Ogerpon Premium Collection,placeholders.csv:692
TWM,TWM,Stamped Cards,Iron Bundle,TWM062,Cosmos Holo Snowflake Stamp,US/UK,,,,,,Shrouded Fable - Holiday Calendar 2024,placeholders.csv:449
TWM,TWM,Stamped Cards,Wellspring Mask Ogerpon ex,TWM064,Expansion Logo Stamp,US/UK,,,,,,Destined Rivals - Masks of Ogerpon Premium Collection,placeholders.csv:693
WHT,WHT,Stamped Cards,Reshiram ex,WHT020,White Flare Stamp,US/UK,,,,,,Black Bolt & White Flare - Unova Heavy Hitters Premium Collection,placeholders.csv:732
WHT,WHT,Stamped Cards,Archeops,WHT051,Excavator Pikachu Stamp,US/UK,,,,,,Black Bolt & White Flare - Pokemon Fossil Museum merchandise,placeholders.csv:752 | mega_placeholders.csv:132
WHT,WHT,Stamped Cards,Zoroark,WHT062,White Flare Stamp,US/UK,,,,,,Black Bolt & White Flare - Unova Heavy Hitters Premium Collection,placeholders.csv:733
,,Stamped Cards,Delphox,,Chaos Rising Stamp,US/Australia/New Zealand,,,,,,Chaos Rising - Retailer Gift With Purchase,mega_placeholders.csv:194
,,Stamped Cards,Genesect,,Phantasmal Flames Stamp,US/Australia/New Zealand,,,,,,Phantasmal Flames - Retailer Gift With Purchase,mega_placeholders.csv:186
,,Stamped Cards,Ho-Oh,,EB Games Stamp,Canada/Australia,,,,,,Chaos Rising - Retailer Gift With Purchase,mega_placeholders.csv:192
,,Stamped Cards,Ho-Oh,,GameStop Stamp,US,,,,,,Chaos Rising - Retailer Gift With Purchase,mega_placeholders.csv:191
,,Stamped Cards,Keldeo,,Chaos Rising Stamp,US,,,,,,Chaos Rising - Retailer Gift With Purchase,mega_placeholders.csv:193
,,Stamped Cards,Yveltal,,EB Games Stamp,Canada/Australia/New Zealand,,,,,,Mega Evolution - Retailer Gift With Purchase,mega_placeholders.csv:182
,,Stamped Cards,Yveltal,,GameStop Stamp,US,,,,,,Mega Evolution - Retailer Gift With Purchase,mega_placeholders.csv:181
DRI,DRI,Staff Cards,Ethan's Typhlosion,DRI034,Staff Stamp,US/UK,,,,,,Destined Rivals - Build & Battle Box,placeholders.csv:663
DRI,DRI,Staff Cards,Misty's Gyarados,DRI049,Staff Stamp,US/UK,,,,,,Destined Rivals - Build & Battle Box,placeholders.csv:664
DRI,DRI,Staff Cards,Team Rocket's Mimikyu,DRI087,Staff Stamp,US/UK,,,,,,Destined Rivals - Build & Battle Box,placeholders.csv:665
DRI,DRI,Staff Cards,Team Rocket's Tyranitar,DRI096,Staff Stamp,US/UK,,,,,,Destined Rivals - Build & Battle Box,placeholders.csv:666
SVP,SVP,Staff Cards,Quaquaval,SVP005,Staff Stamp,US/UK,,,,,,Scarlet & Violet - Build & Battle Box,placeholders.csv:20
SVP,SVP,Staff Cards,Pawmot,SVP006,Staff Stamp,US/UK,,,,,,Scarlet & Violet - Build & Battle Box,placeholders.csv:21
SVP,SVP,Staff Cards,Hawlucha,SVP007,Staff Stamp,US/UK,,,,,,Scarlet & Violet - Build & Battle Box,placeholders.csv:22
SVP,SVP,Staff Cards,Revavroom,SVP008,Staff Stamp,US/UK,,,,,,Scarlet & Violet - Build & Battle Box,placeholders.csv:23
SVP,SVP,Staff Cards,Baxcalibur,SVP019,Staff Stamp,US/UK,,,,,,Paldea Evolved - Build & Battle Box,placeholders.csv:64
SVP,SVP,Staff Cards,Tinkaton,SVP020,Staff Stamp,US/UK,,,,,,Paldea Evolved - Build & Battle Box,placeholders.csv:65
SVP,SVP,Staff Cards,Murkrow,SVP021,Staff Stamp,US/UK,,,,,,Paldea Evolved - Build & Battle Box,placeholders.csv:66
SVP,SVP,Staff Cards,Pelipper,SVP022,Staff Stamp,US/UK,,,,,,Paldea Evolved - Build & Battle Box,placeholders.csv:67
SVP,SVP,Staff Cards,Palafin,SVP036,Staff Stamp,US/UK,,,,,,Obsidian Flames - Build & Battle Box,placeholders.csv:117
SVP,SVP,Staff Cards,Cleffa,SVP037,Staff Stamp,US/UK,,,,,,Obsidian Flames - Build & Battle Box,placeholders.csv:118
SVP,SVP,Staff Cards,Togekiss,SVP038,Staff Stamp,US/UK,,,,,,Obsidian Flames - Build & Battle Box,placeholders.csv:119
SVP,SVP,Staff Cards,Mawile,SVP039,Staff Stamp,US/UK,,,,,,Obsidian Flames - Build & Battle Box,placeholders.csv:120
SVP,SVP,Staff Cards,Chi-Yu,SVP057,Staff Stamp,US/UK,,,,,,Paradox Rift - Build & Battle Box,placeholders.csv:204
SVP,SVP,Staff Cards,Iron Bundle,SVP058,Staff Stamp,US/UK,,,,,,Paradox Rift - Build & Battle Box,placeholders.csv:205
SVP,SVP,Staff Cards,Xatu,SVP059,Staff Stamp,US/UK,,,,,,Paradox Rift - Build & Battle Box,placeholders.csv:206
SVP,SVP,Staff Cards,Aegislash,SVP060,Staff Stamp,US/UK,,,,,,Paradox Rift - Build & Battle Box,placeholders.csv:207
SVP,SVP,Staff Cards,Feraligatr,SVP089,Staff Stamp,US/UK,,,,,,Temporal Forces - Build & Battle Box,placeholders.csv:305
