Category,Card Name,Card Number,Variant,Region,Purchase Options,Source Rows
MCAP Cards,Cinderace,MEG028,Pixel Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,mega_placeholders.csv:100
MCAP Cards,Clawitzer,MEG038,Pixel Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,mega_placeholders.csv:102
MCAP Cards,Raikou,MEG048,Pixel Cosmos Holo,US/UK,Mega Evolution - Raikou Two Pack Blister,mega_placeholders.csv:64
MCAP Cards,Ralts,MEG058,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Collector Chest,mega_placeholders.csv:59
MCAP Cards,Kirlia,MEG059,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Collector Chest,mega_placeholders.csv:60
MCAP Cards,Xerneas,MEG064,Non Holo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:7
MCAP Cards,Hariyama,MEG074,Non Holo,US/UK,Mega Evolution - Mega Evolution Build & Battle Box,mega_placeholders.csv:8
MCAP Cards,Riolu,MEG076,Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Collector Chest,mega_placeholders.csv:61
MCAP Cards,Steelix,MEG093,Pixel Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,mega_placeholders.csv:104
MCAP Cards,Drifloon,MEP005,Pixel Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,mega_placeholders.csv:9
MCAP Cards,Drifblim,MEP006,Pixel Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,mega_placeholders.csv:10
MCAP Cards,Psyduck,MEP007,Pixel Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,mega_placeholders.csv:11
MCAP Cards,Golduck,MEP008,Pixel Cosmos Holo,US/UK,Mega Evolution - Mega Evolution Blisters,mega_placeholders.csv:12
MCAP Cards,Alakazam,MEP009,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Elite Trainer Box,mega_placeholders.csv:24
MCAP Cards,Alakazam,MEP009,Pokemon Center Stamp,US/UK,Mega Evolution - Mega Evolution Elite Trainer Box,mega_placeholders.csv:25
MCAP Cards,Riolu,MEP010,Black Star Promo,US/UK,Mega Evolution - Mega Evolution Elite Trainer Box,mega_placeholders.csv:26
MCAP Cards,Riolu,MEP010,Pokemon Center Stamp,US/UK,Mega Evolution - Mega Evolution Elite Trainer Box,mega_placeholders.csv:27
MCAP Cards,Mega Latias ex,MEP011,Black Star Promo,US/UK,Mega Evolution - Mega Latias ex Box,mega_placeholders.csv:28
MCAP Cards,Mega Venusaur ex,MEP013,Black Star Promo,US/UK,Mega Evolution - Mega Venusaur ex Premium Collection,mega_placeholders.csv:63
MCAP Cards,Cottonee,MEP018,Smooth Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,mega_placeholders.csv:42
MCAP Cards,Whimsicott,MEP019,Smooth Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,mega_placeholders.csv:43
MCAP Cards,Sneasel,MEP020,Smooth Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,mega_placeholders.csv:44
MCAP Cards,Weavile,MEP021,Smooth Cosmos Holo,US/UK,Phantasmal Flames - Phantasmal Flames Blisters,mega_placeholders.csv:45
MCAP Cards,Charcadet,MEP022,Black Star Promo,US/UK,Phantasmal Flames - Phantasmal Flames Elite Trainer Box,mega_placeholders.csv:52
MCAP Cards,Charcadet,MEP022,Pokemon Center Stamp,US/UK,Phantasmal Flames - Phantasmal Flames Elite Trainer Box,mega_placeholders.csv:53
MCAP Cards,Mega Charizard X ex,MEP023,Black Star Promo,US/UK,Phantasmal Flames - Mega Charizard X ex Ultra-Premium Collection,mega_placeholders.csv:54
MCAP Cards,Oricorio ex,MEP024,Black Star Promo,US/UK,Phantasmal Flames - Mega Charizard X ex Ultra-Premium Collection,mega_placeholders.csv:55
MCAP Cards,Mega Kangaskhan ex,MEP025,Black Star Promo,US/UK,Mega Evolution - Mega Kangaskhan ex Box,mega_placeholders.csv:62
MCAP Cards,Mega Charizard X ex,MEP029,Black Star Promo,US/UK,Ascended Heroes - Mega Charizard Tins,mega_placeholders.csv:73
MCAP Cards,Mega Charizard Y ex,MEP030,Black Star Promo,US/UK,Ascended Heroes - Mega Charizard Tins,mega_placeholders.csv:74
MCAP Cards,N's Zekrom,MEP031,Black Star Promo,US/UK,Ascended Heroes - Ascended Heroes Elite Trainer Box,mega_placeholders.csv:71
MCAP Cards,N's Zekrom,MEP031,Pokemon Center Stamp,US/UK,Ascended Heroes - Ascended Heroes Elite Trainer Box,mega_placeholders.csv:72
MCAP Cards,Mega Meganium ex,MEP034,Black Star Promo,US/UK,Ascended Heroes - Mega Meganium ex Box | Ascended Heroes - Ascended Heroes Tins,mega_placeholders.csv:110 | mega_placeholders.csv:172
MCAP Cards,Mega Emboar ex,MEP035,Black Star Promo,US/UK,Ascended Heroes - Mega Emboar ex Box | Ascended Heroes - Ascended Heroes Tins,mega_placeholders.csv:111 | mega_placeholders.csv:173
MCAP Cards,Mega Feraligatr ex,MEP036,Black Star Promo,US/UK,Ascended Heroes - Mega Feraligatr ex Box | Ascended Heroes - Ascended Heroes Tins,mega_placeholders.csv:112 | mega_placeholders.csv:174
MCAP Cards,Makuhita,MEP068,Smooth Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,mega_placeholders.csv:93
MCAP Cards,Chikorita,MEP069,Smooth Cosmos Holo,US/UK,Perfect Order - Perfect Order Blisters,mega_placeholders.csv:94
MCAP Cards,Tyrunt,MEP070,Black Star Promo,US/UK,Perfect Order - Perfect Order Elite Trainer Box,mega_placeholders.csv:105
MCAP Cards,Tyrunt,MEP070,Pokemon Center Stamp,US/UK,Perfect Order - Perfect Order Elite Trainer Box,mega_placeholders.csv:106
MCAP Cards,Mega Zygarde ex,MEP071,Black Star Promo,US/UK,Perfect Order - Mega Zygarde ex Premium Collection,mega_placeholders.csv:113
MCAP Cards,Mega Clefable ex,MEP072,Black Star Promo,US/UK,Chaos Rising - Mega Moonlit Tins,mega_placeholders.csv:133
MCAP Cards,Mega Gengar ex,MEP073,Black Star Promo,US/UK,Chaos Rising - Mega Moonlit Tins,mega_placeholders.csv:134
MCAP Cards,Toxel,MEP078,Smooth Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,mega_placeholders.csv:118
MCAP Cards,Charmeleon,MEP079,Smooth Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,mega_placeholders.csv:119
MCAP Cards,Fennekin,MEP080,Black Star Promo,US/UK,Chaos Rising - Chaos Rising Elite Trainer Box,mega_placeholders.csv:130
MCAP Cards,Fennekin,MEP080,Pokemon Center Stamp,US/UK,Chaos Rising - Chaos Rising Elite Trainer Box,mega_placeholders.csv:131
MCAP Cards,Mega Greninja ex,MEP081,Black Star Promo,US/UK,Chaos Rising - Mega Greninja ex Premium Collection,mega_placeholders.csv:145
MCAP Cards,Slowpoke,MEP086,Smooth Cosmos Holo,US/UK,Pitch Black - Pitch Black Blisters,mega_placeholders.csv:146
MCAP Cards,Binacle,MEP087,Smooth Cosmos Holo,US/UK,Pitch Black - Pitch Black Blisters,mega_placeholders.csv:147
MCAP Cards,Zarude,MEP088,Black Star Promo,US/UK,Pitch Black - Pitch Black Elite Trainer Box,mega_placeholders.csv:158
MCAP Cards,Zarude,MEP088,Pokemon Center Stamp,US/UK,Pitch Black - Pitch Black Elite Trainer Box,mega_placeholders.csv:159
MCAP Cards,Boss's Orders [Ghetsis],PAL172,Non Holo,US/UK,Mega Evolution - Trainer's Toolkit 2025,mega_placeholders.csv:34
MCAP Cards,Zarude,PBL056,Pixel Cosmos Holo,US/UK,Pitch Black - Zarude Two Pack Blister,mega_placeholders.csv:179
MCAP Cards,Oddish,PFL001,Pixel Cosmos Holo,US/UK,Phantasmal Flames - Enhanced 2-Pack Blister: Oddish Gloom & Vileplume,mega_placeholders.csv:107
MCAP Cards,Gloom,PFL002,Pixel Cosmos Holo,US/UK,Phantasmal Flames - Enhanced 2-Pack Blister: Oddish Gloom & Vileplume,mega_placeholders.csv:108
MCAP Cards,Vileplume,PFL003,Pixel Cosmos Holo,US/UK,Phantasmal Flames - Enhanced 2-Pack Blister: Oddish Gloom & Vileplume,mega_placeholders.csv:109
MCAP Cards,Moltres,PFL014,Non Holo,US/UK,Chaos Rising - Chaos Rising Blisters,mega_placeholders.csv:120
MCAP Cards,Reshiram,PFL017,Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,mega_placeholders.csv:121
MCAP Cards,Pawmot,PFL034,Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,mega_placeholders.csv:124
MCAP Cards,Zacian,PFL045,Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,mega_placeholders.csv:126
MCAP Cards,Flygon,PFL053,Cosmos Holo,US/UK,Chaos Rising - Chaos Rising Blisters,mega_placeholders.csv:129
MCAP Cards,Luxray,POR027,Pixel Cosmos Holo,US/UK,Pitch Black - Pitch Black Blisters,mega_placeholders.csv:152
MCAP Cards,Gengar,POR050,Pixel Cosmos Holo,US/UK,Pitch Black - Pitch Black Blisters,mega_placeholders.csv:157
MCAP Cards,Mega Darkrai ex,,Black Star Promo,US/UK,Pitch Black - Mega Forces Tins,mega_placeholders.csv:170
MCAP Cards,Mega Dragonite ex,,Black Star Promo,US/UK,Pitch Black - Mega Forces Tins,mega_placeholders.csv:171
MCAP Cards,Mega Zeraora ex,,Black Star Promo,US/UK,Pitch Black - Mega Forces Tins,mega_placeholders.csv:169
Prize Pack Cards,Kyurem ex,BLK028,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:24
Prize Pack Cards,Eelektrik,BLK031,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:10
Prize Pack Cards,Zekrom ex,BLK034,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:50
Prize Pack Cards,Conkeldurr,BLK049,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:6
Prize Pack Cards,Genesect ex,BLK067,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:16
Prize Pack Cards,Air Balloon,BLK079,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:51
Prize Pack Cards,Yanmega ex,DRI003,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:49
Prize Pack Cards,Cynthia's Roserade,DRI008,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:9
Prize Pack Cards,Shaymin,DRI010,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:43
Prize Pack Cards,Team Rocket's Spidops,DRI020,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:48
Prize Pack Cards,Ethan's Quilava,DRI033,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:14
Prize Pack Cards,Ethan's Typhlosion,DRI034,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:15
Prize Pack Cards,Ethan's Magcargo,DRI036,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:13
Prize Pack Cards,Ethan's Ho-Oh ex,DRI039,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:12
Prize Pack Cards,Team Rocket's Mewtwo ex,DRI081,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:46
Prize Pack Cards,Cynthia's Gabite,DRI103,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:7
Prize Pack Cards,Cynthia's Garchomp ex,DRI104,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:8
Prize Pack Cards,Team Rocket's Nidoking ex,DRI119,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:47
Prize Pack Cards,Team Rocket's Crobat ex,DRI122,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:45
Prize Pack Cards,Arven's Mabosstiff ex,DRI139,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:3
Prize Pack Cards,Cynthia's Power Weight,DRI162,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:54
Prize Pack Cards,Ethan's Adventure,DRI165,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:56
Prize Pack Cards,Team Rocket's Archer,DRI170,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:75
Prize Pack Cards,Team Rocket's Ariana,DRI171,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:76
Prize Pack Cards,Team Rocket's Factory,DRI173,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:78
Prize Pack Cards,Team Rocket's Giovanni,DRI174,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:79
Prize Pack Cards,Team Rocket's Petrel,DRI176,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:80
Prize Pack Cards,Team Rocket's Proton,DRI177,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:81
Prize Pack Cards,Team Rocket's Transceiver,DRI178,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:82
Prize Pack Cards,Team Rocket's Energy,DRI182,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:77
Prize Pack Cards,N's Darmanitan,JTG027,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:39
Prize Pack Cards,Iono's Voltorb,JTG047,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:23
Prize Pack Cards,Iono's Bellibolt ex,JTG053,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:21
Prize Pack Cards,Iono's Kilowattrel,JTG055,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:22
Prize Pack Cards,Lillie's Clefairy ex,JTG056,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:26
Prize Pack Cards,Lillie's Ribombee,JTG067,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:27
Prize Pack Cards,N's Zoroark ex,JTG098,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:41
Prize Pack Cards,Hop's Zacian ex,JTG111,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:20
Prize Pack Cards,N's Reshiram,JTG116,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:40
Prize Pack Cards,Hop's Snorlax,JTG117,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:19
Prize Pack Cards,Hop's Dubwool,JTG136,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:18
Prize Pack Cards,Hop's Choice Band,JTG148,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:59
Prize Pack Cards,Levincia,JTG150,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:61
Prize Pack Cards,Lillie's Pearl,JTG151,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:63
Prize Pack Cards,N's PP Up,JTG153,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:67
Prize Pack Cards,Postwick,JTG154,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:68
Prize Pack Cards,Basic Grass Energy,MEE001,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:87
Prize Pack Cards,Basic Fire Energy,MEE002,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:86
Prize Pack Cards,Basic Water Energy,MEE003,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:91
Prize Pack Cards,Basic Lightning Energy,MEE004,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:88
Prize Pack Cards,Basic Psychic Energy,MEE005,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:90
Prize Pack Cards,Basic Fighting Energy,MEE006,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:85
Prize Pack Cards,Basic Darkness Energy,MEE007,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:84
Prize Pack Cards,Basic Metal Energy,MEE008,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:89
Prize Pack Cards,Mega Venusaur ex,MEG003,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:38
Prize Pack Cards,Mega Camerupt ex,MEG022,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:31
Prize Pack Cards,Cinderace,MEG028,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Eight - Play Pokemon Prize Pack Series Eight,prize_pack_series8.csv:5
